ID,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex & Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age (years),Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker,Creditability
244,3,24,4,0,1344,5,4,4,3,1,2,1,37,1,2,2,2,2,1,1,0
245,1,21,2,3,3357,4,2,4,2,1,2,3,29,1,2,1,3,1,1,1,1
246,1,12,2,0,1274,1,2,3,2,1,1,1,37,1,2,1,2,1,1,1,0
247,4,11,4,0,7228,1,3,1,3,1,4,2,39,3,2,2,2,1,1,1,1
248,1,36,2,6,1977,5,5,4,3,1,4,4,40,3,2,1,4,1,2,1,0
249,1,24,2,3,1987,1,3,2,3,1,4,1,21,3,1,1,2,2,1,1,0
250,4,12,2,3,3059,4,4,2,1,1,4,1,61,3,2,1,2,1,1,1,1
251,2,42,1,1,9283,1,1,1,3,1,2,4,55,1,3,1,4,1,2,1,1
252,2,48,2,3,10961,4,4,1,3,2,2,4,27,1,2,2,3,1,2,1,0
253,1,6,2,6,448,1,2,4,2,1,4,2,23,3,2,1,3,1,1,1,0
254,2,18,3,0,2899,5,5,4,3,1,4,3,43,3,2,1,3,2,1,1,1
255,4,48,2,3,10222,5,4,4,3,1,3,3,37,2,2,1,3,1,2,1,1
256,1,15,0,0,950,1,5,4,3,1,3,3,33,3,1,2,3,2,1,1,0
257,2,20,3,1,7057,5,4,3,3,1,4,2,36,1,1,2,4,2,2,1,1
258,4,12,4,3,1291,1,3,4,2,1,2,2,35,3,2,2,3,1,1,1,1
259,2,12,2,2,951,2,2,4,2,1,4,3,27,1,1,4,3,1,1,1,0
260,1,24,4,1,6419,1,5,2,2,1,4,4,44,3,3,2,4,2,2,1,1
261,4,24,2,1,2679,1,2,4,2,1,1,4,29,3,2,1,4,1,2,1,1
262,4,12,2,1,2445,5,2,2,4,1,4,3,26,3,1,1,3,1,2,1,1
263,2,9,2,3,458,1,3,4,3,1,3,1,24,3,2,1,3,1,1,1,1
264,2,15,2,5,1514,2,3,4,3,3,2,1,22,3,2,1,3,1,1,1,1
265,1,18,1,2,1553,1,3,4,3,1,3,3,44,1,2,1,3,1,1,1,0
266,2,18,4,3,1245,1,3,4,4,1,2,3,33,3,2,1,3,1,1,1,0
267,4,24,2,2,3062,3,5,4,3,1,3,4,32,3,1,1,3,1,2,1,1
268,2,24,3,0,1965,5,3,4,2,1,4,3,42,3,1,2,3,1,2,1,1
269,4,18,2,3,433,1,1,3,2,2,4,1,22,3,1,1,3,1,1,1,0
270,2,12,4,3,3573,1,3,1,2,1,1,1,23,3,2,1,2,1,1,1,1
271,1,12,2,2,1657,1,3,2,3,1,2,1,27,3,2,1,3,1,1,1,1
272,4,18,4,3,2238,1,3,2,2,1,1,3,25,3,2,2,3,1,1,1,1
273,2,12,2,0,888,1,5,4,3,1,4,3,41,1,2,1,2,2,1,1,0
274,2,24,4,0,3878,2,2,4,1,1,2,3,37,3,2,1,3,1,2,1,1
275,3,24,2,2,2892,1,5,3,1,1,4,4,51,3,3,1,3,1,1,1,1
276,2,48,0,9,14421,1,3,2,3,1,2,3,25,2,2,1,3,1,2,1,0
277,4,10,2,6,727,3,5,4,3,1,4,4,46,3,3,1,3,1,2,1,1
278,4,9,4,6,936,3,5,4,3,1,2,3,52,3,2,2,3,1,2,1,1
279,1,6,4,3,1169,5,5,4,3,1,4,1,67,3,2,2,3,1,2,1,1
280,3,18,2,2,3049,1,2,1,2,1,1,2,45,2,2,1,2,1,1,1,1
281,4,18,2,5,1943,1,2,4,2,1,4,1,23,3,2,1,3,1,1,1,0
282,2,24,4,9,1935,1,5,4,1,1,4,1,31,3,2,2,3,1,2,1,0
283,1,48,2,1,4788,1,4,4,3,1,3,2,26,3,2,1,3,2,1,1,1
284,4,24,3,9,2375,3,3,4,3,1,2,3,44,3,2,2,3,2,2,1,1
285,1,45,0,9,11816,1,5,2,3,1,4,3,29,3,1,2,3,1,1,1,0
286,4,12,4,3,618,1,5,4,3,1,4,1,56,3,2,1,3,1,1,1,1
287,4,6,2,5,660,3,4,2,4,1,4,1,23,3,1,1,2,1,1,1,1
288,2,18,2,1,12976,1,1,3,2,1,4,4,38,3,3,1,4,1,2,1,0
289,4,12,2,3,1493,1,2,4,2,1,3,3,34,3,2,1,3,2,1,1,1
290,2,30,4,0,4249,1,1,4,4,1,2,3,28,3,2,2,4,1,1,1,0
291,2,8,2,3,760,1,4,4,2,3,2,1,44,3,2,1,2,1,1,1,1
292,4,36,4,3,9566,1,3,2,2,1,2,3,31,2,2,2,3,1,1,1,1
293,4,24,2,1,2603,4,3,2,2,1,4,3,28,3,1,1,3,1,2,1,1
294,4,9,4,6,1244,5,5,4,2,1,4,2,41,3,1,2,2,1,1,1,1
295,4,36,3,0,10875,1,5,2,3,1,2,3,45,3,2,2,3,2,2,1,1
296,1,18,4,0,5302,1,5,2,3,1,4,4,36,3,3,3,4,1,2,1,1
297,4,30,4,3,3077,5,5,3,3,1,2,3,40,3,2,2,3,2,2,1,1
298,4,6,0,0,1204,2,3,4,3,1,1,4,35,1,1,1,3,1,1,2,1
299,1,30,4,1,6187,2,4,1,4,1,4,3,24,3,1,2,3,1,1,1,1
300,4,6,4,3,1554,1,4,1,2,1,2,3,24,3,1,2,3,1,2,1,1
301,2,24,2,3,3758,3,1,1,2,1,4,4,23,3,1,1,1,1,1,1,1
302,2,18,4,2,7374,1,1,4,3,1,4,2,40,2,2,2,4,1,2,1,1
303,1,10,4,0,1038,1,4,4,3,2,3,2,49,3,2,2,3,1,2,1,1
304,2,9,1,0,1437,2,4,2,3,1,3,4,29,3,2,1,3,1,1,1,0
305,3,21,4,6,2319,1,2,2,1,1,1,3,33,3,1,1,3,1,1,1,0
306,4,21,2,1,5248,5,3,1,3,1,3,3,26,3,2,1,3,1,1,1,1
307,4,18,2,3,4594,1,2,3,3,1,2,3,32,3,2,1,3,1,2,1,1
308,1,12,2,3,2214,1,3,4,3,1,3,2,24,3,2,1,2,1,1,1,1
309,4,15,4,3,1829,1,5,4,3,1,4,3,46,3,2,2,3,1,2,1,1
310,2,18,0,0,2278,2,2,3,2,1,3,3,28,3,2,2,3,1,1,1,0
311,1,6,4,3,1957,1,4,1,2,1,4,3,31,3,2,1,3,1,1,1,1
312,4,36,2,0,909,3,5,4,3,1,4,2,36,3,2,1,3,1,1,1,1
313,4,24,4,9,4139,2,3,3,3,1,3,2,27,3,2,2,2,1,2,1,1
314,1,28,2,0,4006,1,3,3,3,1,2,3,45,3,2,1,2,1,1,1,0
315,2,18,4,2,1928,1,2,2,3,1,2,1,31,3,2,2,2,1,1,1,0
316,2,36,2,3,4795,1,2,4,2,1,1,4,30,3,2,1,4,1,2,1,1
317,2,18,2,5,3872,1,1,2,2,1,4,3,67,3,2,1,3,1,2,1,1
318,4,6,3,9,1743,2,3,1,3,1,2,1,34,3,2,2,2,1,1,1,1
319,1,15,2,0,1403,1,3,2,2,1,4,3,28,3,1,1,3,1,1,1,1
320,4,12,2,2,1768,1,3,3,3,1,2,1,24,3,1,1,2,1,1,1,1
321,2,9,2,0,1549,5,2,4,3,1,2,1,35,3,2,1,1,1,1,1,1
322,2,18,3,2,4297,1,5,4,1,1,3,4,40,3,2,1,4,1,2,1,0
323,2,60,3,3,9157,5,3,2,3,1,2,4,27,3,3,1,4,1,1,1,1
324,3,6,4,0,1323,2,5,2,1,1,4,3,28,3,2,2,3,2,2,1,1
325,2,6,2,3,1068,1,5,4,3,1,4,3,28,3,2,1,3,2,1,1,1
326,2,18,2,9,1941,4,3,4,3,1,2,2,35,3,2,1,2,1,2,1,1
327,4,24,2,1,5433,5,1,2,2,1,4,2,26,3,1,1,4,1,2,1,1
328,1,12,2,3,1498,1,3,4,2,1,1,3,23,1,2,1,3,1,1,1,1
329,4,4,4,3,1503,1,4,2,3,1,1,1,42,3,2,2,2,2,1,1,1
330,4,24,2,3,3430,3,5,3,3,1,2,3,31,3,2,1,3,2,2,1,1
331,2,18,2,2,3001,1,4,2,2,1,4,1,40,3,1,1,3,1,1,1,1
332,2,12,2,3,1092,1,3,4,2,3,4,1,49,3,2,2,3,1,2,1,1
333,2,6,1,0,931,2,2,1,2,1,1,2,32,2,2,1,2,1,1,1,0
334,2,36,2,0,14318,1,5,4,3,1,2,4,57,3,3,1,4,1,2,1,0
335,2,48,0,9,12204,5,3,2,3,1,2,3,48,1,2,1,4,1,2,1,1
336,2,11,4,0,1322,4,3,4,2,1,4,3,40,3,2,2,3,1,1,1,1
337,2,36,1,4,3990,5,2,3,2,1,2,4,29,1,2,1,1,1,1,1,1
338,3,24,2,0,947,1,4,4,3,1,3,4,38,1,3,1,3,2,1,1,0
339,2,24,3,9,6967,2,4,4,3,1,4,3,36,3,1,1,4,1,2,1,1
340,1,12,2,2,708,1,3,2,3,3,3,2,38,3,2,1,2,2,1,1,1
341,1,24,1,10,1358,5,5,4,3,1,3,3,40,2,2,1,4,1,2,1,0
342,1,24,2,3,2439,1,2,4,2,1,4,1,35,3,2,1,3,1,2,1,0
343,2,60,2,0,7408,2,2,4,2,1,2,2,24,3,2,1,4,1,1,1,0
344,2,12,2,1,2028,5,3,4,3,1,2,3,30,3,2,1,3,1,1,1,1
345,1,36,2,1,8335,5,5,3,3,1,4,4,47,3,3,1,3,1,1,1,0
346,2,12,2,2,1922,1,3,4,3,1,2,2,37,3,2,1,2,1,1,1,0
347,4,36,2,3,3595,1,5,4,3,1,2,3,28,3,2,1,3,1,1,1,1
348,4,15,4,2,3343,1,3,4,3,1,2,4,28,3,3,1,3,1,2,1,1
349,1,48,2,1,10297,1,4,4,3,1,4,4,39,3,3,3,3,2,2,1,0
350,2,24,3,3,1553,2,4,3,2,1,2,2,23,3,1,2,3,1,2,1,1
351,1,12,2,0,1372,1,4,2,1,1,3,3,36,3,2,1,3,1,1,1,0
352,1,12,2,6,795,1,2,4,2,1,4,2,53,3,2,1,3,1,1,1,0
353,1,36,2,3,2302,1,3,4,1,1,4,3,31,3,1,1,3,1,1,1,0
354,4,12,4,2,1935,1,5,4,3,1,4,1,43,3,2,3,3,1,2,1,1
355,4,9,4,0,1224,1,3,3,3,1,1,1,30,3,2,2,3,1,1,1,1
356,4,12,2,3,1963,1,4,4,3,1,2,3,31,3,1,2,4,2,2,1,1
357,2,36,4,0,2820,1,2,4,1,1,4,3,27,3,2,2,3,1,1,1,0
358,4,6,2,4,1338,3,3,1,1,1,4,1,62,3,2,1,3,1,1,1,1
359,1,36,4,2,2348,1,3,3,4,1,2,2,46,3,2,2,3,1,2,1,1
360,1,18,2,1,7511,5,5,1,3,1,4,2,51,3,3,1,3,2,2,1,0
361,4,15,4,6,1532,2,3,4,2,1,3,3,31,3,2,1,3,1,1,1,1
362,2,15,1,0,1264,2,3,2,4,1,2,2,25,3,1,1,3,1,1,1,0
363,2,30,2,0,2150,1,3,4,2,3,2,4,24,1,2,1,3,1,1,1,0
364,4,12,4,0,682,2,4,4,2,1,3,3,51,3,2,2,3,1,2,1,1
365,4,12,2,9,1076,1,3,2,4,1,2,1,26,3,2,1,3,1,2,1,1
366,4,27,3,9,5117,1,4,3,3,1,4,3,26,3,2,2,3,1,1,1,1
367,2,30,4,2,8386,1,4,2,3,1,2,2,49,3,2,1,3,1,1,1,0
368,4,10,2,0,1546,1,3,3,3,1,2,1,31,3,2,1,2,2,1,2,1
369,2,24,4,3,1216,2,2,4,3,1,4,4,38,1,2,2,3,2,1,1,0
370,4,15,4,3,1316,3,3,2,4,1,2,2,47,3,2,2,2,1,1,1,1
371,4,18,2,2,2515,1,3,3,3,1,4,1,43,3,2,1,3,1,2,1,1
372,4,12,2,6,1393,1,5,4,3,1,4,2,47,1,2,3,3,2,2,1,1
373,2,12,2,0,7472,5,1,1,2,1,2,1,24,3,1,1,1,1,1,1,1
374,4,12,4,2,1592,4,4,3,2,1,2,2,35,3,2,1,3,1,1,1,1
375,4,12,4,5,996,5,4,4,2,1,4,1,23,3,2,2,3,1,1,1,1
376,1,20,4,0,2235,1,3,4,4,3,2,2,33,1,1,2,3,1,1,2,0
377,1,12,2,3,727,2,2,4,4,1,3,4,33,3,2,1,2,1,2,1,0
378,2,8,2,9,907,1,2,3,4,1,2,1,26,3,2,1,3,1,2,1,1
379,4,15,4,1,3368,4,5,3,3,1,4,4,23,3,1,2,3,1,2,1,1
380,4,30,4,3,5954,1,4,3,3,2,2,3,38,3,2,1,3,1,1,1,1
381,2,12,2,0,836,2,2,4,2,1,2,2,23,1,2,1,2,1,1,1,0
382,2,21,2,9,1188,1,5,2,2,1,4,2,39,3,2,1,3,2,1,1,0
383,4,21,3,2,1591,2,4,4,3,1,3,1,34,3,2,2,4,1,1,1,1
384,3,12,2,3,1297,1,3,3,4,1,4,1,23,3,1,1,3,1,1,1,1
385,4,13,2,3,1409,2,1,2,2,1,4,1,64,3,2,1,3,1,1,1,1
386,2,30,4,0,2181,5,5,4,3,1,4,1,36,3,2,2,3,1,1,1,1
387,2,24,2,1,11560,1,3,1,2,1,4,3,23,3,1,2,4,1,1,1,0
388,2,15,2,5,1308,1,5,4,3,1,4,3,38,3,2,2,2,1,1,1,1
389,1,36,1,2,2746,1,5,4,3,1,4,3,31,1,2,1,3,1,1,1,0
390,2,12,4,4,1424,1,4,4,3,1,3,2,26,3,2,1,3,1,1,1,1
391,2,9,1,1,5129,1,5,2,2,1,4,4,74,1,3,1,4,2,2,1,0
392,2,18,4,9,3590,1,1,3,4,1,3,3,40,3,2,3,1,2,2,1,1
393,2,12,2,3,1155,1,5,3,4,3,3,1,40,1,2,2,2,1,1,1,1
394,2,36,2,1,6948,1,3,2,3,1,2,3,35,3,1,1,4,1,2,1,1
395,2,48,0,10,18424,1,3,1,2,1,2,2,32,1,2,1,4,1,2,2,0
396,1,24,0,2,4110,1,5,3,3,1,4,4,23,1,1,2,3,2,1,1,0
397,2,15,2,5,2631,2,3,3,2,1,2,1,25,3,2,1,2,1,1,1,1
398,1,24,2,0,1442,1,4,4,2,1,4,3,23,3,1,2,3,1,1,1,0
399,1,18,2,2,2462,1,3,2,3,1,2,3,22,3,2,1,3,1,1,1,0
400,1,12,0,3,6199,1,3,4,3,1,2,2,28,3,1,2,3,1,2,1,0
401,1,15,3,2,3643,1,5,1,2,1,4,2,27,3,2,2,2,1,1,1,1
402,4,18,2,0,2662,5,4,4,3,1,3,2,32,3,2,1,3,1,1,2,1
403,2,12,4,2,3617,1,5,1,3,1,4,3,28,3,1,3,3,1,2,1,1
404,4,24,2,0,1525,4,4,4,2,1,3,3,34,3,2,1,3,2,2,1,1
405,4,18,2,1,3378,5,3,2,3,1,1,2,31,3,2,1,3,1,2,1,1
406,2,6,2,3,753,1,3,2,2,3,3,1,64,3,2,1,3,1,1,1,1
407,2,18,2,3,1301,1,5,4,4,3,2,1,32,3,2,1,2,1,1,1,1
408,2,6,2,3,590,1,2,3,4,1,3,1,26,3,2,1,2,1,1,2,1
409,1,30,2,2,3108,1,2,2,1,1,4,2,31,3,2,1,2,1,1,1,0
410,1,24,2,2,7721,5,2,1,2,1,2,2,30,3,2,1,3,1,2,2,1
411,2,13,2,3,2101,1,2,2,2,3,4,2,23,3,2,1,2,1,1,1,1
412,1,48,2,6,7476,1,4,4,3,1,1,4,50,3,3,1,4,1,2,1,1
413,4,18,2,9,1950,1,4,4,3,1,1,3,34,2,2,2,3,1,2,1,1
414,4,24,2,3,1901,2,3,4,3,1,4,3,29,3,1,1,4,1,2,1,1
415,1,21,2,2,3599,1,4,1,2,1,4,3,26,3,1,1,2,1,1,1,1
416,1,18,2,6,750,1,1,4,2,1,1,1,27,3,2,1,1,1,1,1,0
417,1,12,3,0,1344,1,3,4,3,1,2,1,43,3,2,2,2,2,1,1,1
418,2,7,2,3,2329,1,2,1,2,3,1,1,45,3,2,1,3,1,1,1,1
419,1,42,4,5,3394,1,1,4,3,2,4,3,65,3,2,2,1,1,1,1,1
420,1,36,2,0,9271,1,4,2,3,1,1,3,24,3,2,1,3,1,2,1,0
421,2,12,4,1,1804,2,2,3,3,1,4,2,44,3,2,1,3,1,1,1,1
422,1,12,2,3,701,1,3,4,4,1,2,1,40,3,2,1,2,1,1,1,1
423,2,24,2,0,1201,1,2,4,3,1,1,2,26,3,2,1,3,1,1,1,1
424,4,24,2,3,3181,1,2,4,2,1,4,2,26,3,2,1,3,1,2,1,1
425,2,6,2,5,454,1,2,3,4,1,1,2,22,3,2,1,2,1,1,1,1
426,4,10,2,0,1418,2,3,3,3,1,2,1,35,3,1,1,2,1,1,2,1
427,2,12,3,3,585,1,3,4,4,2,4,1,20,3,1,2,3,1,1,1,1
428,4,4,4,0,1455,1,4,2,3,1,1,1,42,3,2,3,2,2,1,1,1
429,3,10,4,3,1347,5,4,4,3,1,2,2,27,3,2,2,3,1,2,1,1
430,2,18,3,5,6204,1,3,2,3,1,4,1,44,3,2,1,2,2,2,1,1
431,4,24,2,1,2670,1,5,4,3,1,4,3,35,3,2,1,4,1,2,1,1
432,2,12,2,3,1158,3,3,3,1,1,1,3,26,3,2,1,3,1,2,1,1
433,1,12,2,0,900,5,3,4,4,1,2,3,23,3,2,1,3,1,1,1,0
434,4,24,4,3,2223,2,5,4,3,1,4,2,52,1,2,2,3,1,1,1,1
435,2,36,2,6,3711,5,3,2,4,1,2,3,27,3,2,1,3,1,1,1,1
436,2,45,4,3,4746,1,2,4,3,1,2,2,24,1,2,2,2,1,1,1,0
437,4,21,4,2,2288,1,2,4,2,1,4,2,23,3,2,1,3,1,2,1,1
438,4,12,4,0,1163,3,3,4,3,1,4,1,44,3,2,1,3,1,2,1,1
439,4,36,4,2,7127,1,2,2,2,1,4,2,23,3,1,2,3,1,2,1,0
440,4,18,4,3,1149,4,3,4,3,1,3,1,46,3,2,2,3,1,1,1,1
441,1,24,2,9,6568,1,3,2,4,1,2,3,21,2,2,1,2,1,1,1,1
442,2,72,2,3,5595,2,3,2,4,1,2,3,24,3,2,1,3,1,1,1,0
443,4,12,2,2,763,1,3,4,2,1,1,1,26,3,2,1,3,1,2,1,1
444,2,24,2,3,2039,1,2,1,4,1,1,2,22,3,2,1,3,1,2,1,0
445,1,24,2,0,1381,5,3,4,2,1,2,2,35,3,2,1,3,1,1,1,0
446,4,48,3,3,7238,5,5,3,3,1,3,3,32,1,2,2,3,2,1,1,1
447,2,45,2,3,3031,2,3,4,3,3,4,2,21,3,1,1,3,1,1,1,0
448,2,36,2,6,2273,1,4,3,3,1,1,3,32,3,2,2,3,2,1,1,1
449,4,24,2,3,1311,2,4,4,4,1,3,2,26,3,2,1,3,1,2,1,1
450,1,18,2,0,4380,2,3,3,3,1,4,3,35,3,2,1,2,2,2,1,1
451,4,30,4,3,2831,1,3,4,2,1,2,3,33,3,2,1,3,1,2,1,1
452,1,12,2,6,684,1,3,4,3,1,4,3,40,3,1,1,2,2,1,1,0
453,1,18,2,4,1217,1,3,4,4,1,3,1,47,3,2,1,2,1,2,1,0
454,1,24,2,1,2924,1,3,3,3,3,4,4,63,1,2,1,3,2,2,1,1
