"","ID","Account.Balance","Duration.of.Credit..month.","Payment.Status.of.Previous.Credit","Purpose","Credit.Amount","Value.Savings.Stocks","Length.of.current.employment","Instalment.per.cent","Guarantors","Duration.in.Current.address","Most.valuable.available.asset","Age..years.","Concurrent.Credits","Type.of.apartment","No.of.Credits.at.this.Bank","Occupation","No.of.dependents","Telephone","Foreign.Worker","Creditability","Sex","Marital.Status"
"61",211,"No Account",12,"Critical Account","Radio/Television",1240,"Unknown",">= 7 Years","> 35%","None","1 - 4 Years","Real Estate",38,"None","Own","2 or 3","Skilled Official","< 3","Registered","Yes","Good","Female","Divorced/Separated/Married"
"62",212,"0 <= ... < 200 EU",18,"Existing Paid","Education",1239,"Unknown","1 <= ... < 4 Years","> 35%","None","> 7 Years","Unknown",61,"None","For Free","1","Skilled Official","< 3","None","Yes","Good","Male","Single"
"63",213,"< 0 EU",24,"Existing Paid","Furniture/Equipment",1747,"< 100 EU","< 1 Year","> 35%","Co-Applicant","< 1 Year","Savings Agreement/Life Insurance",24,"None","Own","1","Unskilled Resident","< 3","None","No","Good","Male","Single"
"64",214,"0 <= ... < 200 EU",18,"Critical Account","Furniture/Equipment",3612,"< 100 EU",">= 7 Years","25% - 35%","None","> 7 Years","Savings Agreement/Life Insurance",37,"None","Own","1","Skilled Official","< 3","Registered","No","Good","Female","Divorced/Separated/Married"
"65",215,"No Account",15,"Existing Paid","Car(New)",3556,"Unknown","1 <= ... < 4 Years","25% - 35%","None","1 - 4 Years","Unknown",29,"None","Own","1","Skilled Official","< 3","None","Yes","Good","Male","Single"
"66",216,"No Account",18,"None Taken","Business",4165,"< 100 EU","1 <= ... < 4 Years","20% - 25%","None","1 - 4 Years","Car or Other",36,"Stores","Own","2 or 3","Skilled Official",">= 3","None","Yes","Bad","Male","Single"
"67",217,"< 0 EU",24,"Existing Paid","Car(New)",4817,"< 100 EU","4 <= ... < 7 Years","20% - 25%","Co-Applicant","4 - 7 Years","Savings Agreement/Life Insurance",31,"None","Own","1","Skilled Official","< 3","Registered","Yes","Bad","Male","Single"
"68",218,"< 0 EU",18,"Existing Paid","Car(New)",1216,"< 100 EU","< 1 Year","> 35%","None","4 - 7 Years","Car or Other",23,"None","Rent","1","Skilled Official","< 3","Registered","Yes","Bad","Female","Divorced/Separated/Married"
"69",219,"No Account",6,"Existing Paid","Radio/Television",2108,"< 100 EU","4 <= ... < 7 Years","20% - 25%","None","1 - 4 Years","Real Estate",29,"None","Rent","1","Skilled Official","< 3","None","Yes","Good","Male","Divorced/Separated/Married"
"70",220,"< 0 EU",6,"Critical Account","Car(New)",860,"< 100 EU",">= 7 Years","< 20%","None","> 7 Years","Unknown",39,"None","Own","2 or 3","Skilled Official","< 3","Registered","Yes","Good","Female","Divorced/Separated/Married"
"71",221,"0 <= ... < 200 EU",12,"Existing Paid","Business",1037,"100 <= ... < 500 EU","4 <= ... < 7 Years","25% - 35%","None","> 7 Years","Real Estate",39,"None","Own","1","Unskilled Resident","< 3","None","Yes","Good","Male","Single"
"72",222,"No Account",24,"Critical Account","Car(New)",2022,"< 100 EU","1 <= ... < 4 Years","> 35%","None","> 7 Years","Car or Other",37,"None","Own","1","Skilled Official","< 3","Registered","Yes","Good","Female","Divorced/Separated/Married"
"73",223,"< 0 EU",48,"All Paid","Business",7685,"< 100 EU","4 <= ... < 7 Years","20% - 25%","Guarantor","> 7 Years","Car or Other",37,"None","Rent","1","Skilled Official","< 3","None","Yes","Bad","Female","Divorced/Separated/Married"
"74",224,"0 <= ... < 200 EU",27,"Critical Account","Radio/Television",2520,"500 <= ... < 1000 EU","1 <= ... < 4 Years","> 35%","None","1 - 4 Years","Savings Agreement/Life Insurance",23,"None","Own","2 or 3","Unskilled Resident","< 3","None","Yes","Bad","Male","Single"
"75",225,"No Account",6,"Critical Account","Radio/Television",700,"Unknown",">= 7 Years","> 35%","None","> 7 Years","Unknown",36,"None","For Free","2 or 3","Skilled Official","< 3","None","Yes","Good","Male","Single"
"76",226,"No Account",28,"All Paid","Car(Used)",7824,"Unknown","< 1 Year","25% - 35%","Guarantor","> 7 Years","Real Estate",40,"Bank","Rent","2 or 3","Skilled Official",">= 3","Registered","Yes","Good","Male","Single"
"77",227,"0 <= ... < 200 EU",9,"Critical Account","Education",1136,">= 1000 EU",">= 7 Years","> 35%","None","4 - 7 Years","Unknown",32,"None","For Free","2 or 3","Skilled Official",">= 3","None","Yes","Bad","Male","Single"
"78",228,"No Account",12,"Existing Paid","Car(New)",1884,"< 100 EU",">= 7 Years","> 35%","None","> 7 Years","Car or Other",39,"None","Own","1","Highly Qualified","< 3","Registered","Yes","Good","Male","Single"
"79",229,"No Account",36,"Critical Account","Radio/Television",3342,"Unknown",">= 7 Years","> 35%","None","1 - 4 Years","Car or Other",51,"None","Own","1","Skilled Official","< 3","Registered","Yes","Good","Male","Single"
"80",230,"0 <= ... < 200 EU",30,"Critical Account","Car(New)",5234,"< 100 EU","Unemployed","> 35%","None","1 - 4 Years","Car or Other",28,"None","Own","2 or 3","Highly Qualified","< 3","None","Yes","Bad","Male","Divorced/Separated/Married"
"81",231,"No Account",33,"Delay Paid","Business",2764,"< 100 EU","1 <= ... < 4 Years","20% - 25%","None","1 - 4 Years","Car or Other",26,"None","Own","2 or 3","Skilled Official","< 3","Registered","Yes","Good","Female","Divorced/Separated/Married"
"82",232,"No Account",10,"Critical Account","Car(New)",1231,"< 100 EU",">= 7 Years","25% - 35%","None","> 7 Years","Real Estate",32,"None","Own","2 or 3","Unskilled Resident",">= 3","None","No","Good","Male","Single"
"83",233,"0 <= ... < 200 EU",18,"Critical Account","Car(New)",1056,"< 100 EU",">= 7 Years","25% - 35%","Guarantor","4 - 7 Years","Real Estate",30,"None","Own","2 or 3","Skilled Official","< 3","None","Yes","Bad","Male","Single"
"84",234,"0 <= ... < 200 EU",15,"Existing Paid","Car(New)",2631,"100 <= ... < 500 EU","1 <= ... < 4 Years","20% - 25%","None","> 7 Years","Car or Other",28,"None","Rent","2 or 3","Skilled Official","< 3","Registered","Yes","Bad","Female","Divorced/Separated/Married"
"85",235,"No Account",12,"Existing Paid","Radio/Television",2279,"Unknown","1 <= ... < 4 Years","> 35%","None","> 7 Years","Unknown",37,"None","For Free","1","Skilled Official","< 3","Registered","Yes","Good","Male","Single"
"86",236,"0 <= ... < 200 EU",48,"Critical Account","Furniture/Equipment",5096,"< 100 EU","1 <= ... < 4 Years","20% - 25%","None","4 - 7 Years","Car or Other",30,"None","Own","1","Highly Qualified","< 3","Registered","Yes","Bad","Female","Divorced/Separated/Married"
"87",237,"0 <= ... < 200 EU",12,"Existing Paid","Radio/Television",766,"500 <= ... < 1000 EU","1 <= ... < 4 Years","> 35%","None","4 - 7 Years","Real Estate",66,"None","Own","1","Unskilled Resident","< 3","None","Yes","Bad","Male","Single"
"88",238,"< 0 EU",12,"Critical Account","Car(New)",2121,"< 100 EU","1 <= ... < 4 Years","> 35%","None","1 - 4 Years","Savings Agreement/Life Insurance",30,"None","Own","2 or 3","Skilled Official","< 3","None","Yes","Good","Male","Single"
"89",239,"No Account",30,"Existing Paid","Radio/Television",1867,"Unknown",">= 7 Years","> 35%","None","> 7 Years","Car or Other",58,"None","Own","1","Skilled Official","< 3","Registered","Yes","Good","Male","Single"
"90",240,"0 <= ... < 200 EU",48,"None Taken","Car(New)",8358,"500 <= ... < 1000 EU","< 1 Year","< 20%","None","< 1 Year","Car or Other",30,"None","Own","2 or 3","Skilled Official","< 3","None","Yes","Good","Female","Divorced/Separated/Married"
"91",241,">= 200 EU",36,"Existing Paid","Radio/Television",4473,"< 100 EU",">= 7 Years","> 35%","None","1 - 4 Years","Car or Other",31,"None","Own","1","Skilled Official","< 3","None","Yes","Good","Male","Single"
"92",242,"0 <= ... < 200 EU",21,"Existing Paid","Business",2767,"100 <= ... < 500 EU",">= 7 Years","> 35%","None","1 - 4 Years","Car or Other",61,"None","Rent","2 or 3","Unskilled Resident","< 3","None","Yes","Bad","Male","Divorced/Separated/Married"
"93",243,"No Account",18,"Critical Account","Radio/Television",1098,"< 100 EU","Unemployed","> 35%","None","> 7 Years","Car or Other",65,"None","Own","2 or 3","Unemployed Non-resident","< 3","None","Yes","Good","Female","Divorced/Separated/Married"
"94",244,">= 200 EU",24,"Critical Account","Car(New)",1344,"Unknown","4 <= ... < 7 Years","> 35%","None","1 - 4 Years","Real Estate",37,"Bank","Own","2 or 3","Unskilled Resident",">= 3","None","Yes","Bad","Male","Single"
"95",245,"< 0 EU",21,"Existing Paid","Radio/Television",3357,">= 1000 EU","< 1 Year","> 35%","None","1 - 4 Years","Car or Other",29,"Bank","Own","1","Skilled Official","< 3","None","Yes","Good","Female","Divorced/Separated/Married"
"96",246,"< 0 EU",12,"Existing Paid","Car(New)",1274,"< 100 EU","< 1 Year","25% - 35%","None","< 1 Year","Real Estate",37,"Bank","Own","1","Unskilled Resident","< 3","None","Yes","Bad","Female","Divorced/Separated/Married"
"97",247,"No Account",11,"Critical Account","Car(New)",7228,"< 100 EU","1 <= ... < 4 Years","< 20%","None","> 7 Years","Savings Agreement/Life Insurance",39,"None","Own","2 or 3","Unskilled Resident","< 3","None","Yes","Good","Male","Single"
"98",248,"< 0 EU",36,"Existing Paid","Education",1977,"Unknown",">= 7 Years","> 35%","None","> 7 Years","Unknown",40,"None","Own","1","Highly Qualified","< 3","Registered","Yes","Bad","Male","Single"
"99",249,"< 0 EU",24,"Existing Paid","Radio/Television",1987,"< 100 EU","1 <= ... < 4 Years","20% - 25%","None","> 7 Years","Real Estate",21,"None","Rent","1","Unskilled Resident",">= 3","None","Yes","Bad","Male","Single"
"100",250,"No Account",12,"Existing Paid","Radio/Television",3059,">= 1000 EU","4 <= ... < 7 Years","20% - 25%","None","> 7 Years","Real Estate",61,"None","Own","1","Unskilled Resident","< 3","None","Yes","Good","Male","Divorced/Separated/Married"
"101",251,"0 <= ... < 200 EU",42,"All Paid","Car(Used)",9283,"< 100 EU","Unemployed","< 20%","None","1 - 4 Years","Unknown",55,"Bank","For Free","1","Highly Qualified","< 3","Registered","Yes","Good","Male","Single"
"102",252,"0 <= ... < 200 EU",48,"Existing Paid","Radio/Television",10961,">= 1000 EU","4 <= ... < 7 Years","< 20%","Co-Applicant","1 - 4 Years","Unknown",27,"Bank","Own","2 or 3","Skilled Official","< 3","Registered","Yes","Bad","Male","Single"
"103",253,"< 0 EU",6,"Existing Paid","Education",448,"< 100 EU","< 1 Year","> 35%","None","> 7 Years","Savings Agreement/Life Insurance",23,"None","Own","1","Skilled Official","< 3","None","Yes","Bad","Female","Divorced/Separated/Married"
"104",254,"0 <= ... < 200 EU",18,"Delay Paid","Car(New)",2899,"Unknown",">= 7 Years","> 35%","None","> 7 Years","Car or Other",43,"None","Own","1","Skilled Official",">= 3","None","Yes","Good","Male","Single"
"105",255,"No Account",48,"Existing Paid","Radio/Television",10222,"Unknown","4 <= ... < 7 Years","> 35%","None","4 - 7 Years","Car or Other",37,"Stores","Own","1","Skilled Official","< 3","Registered","Yes","Good","Male","Single"
"106",256,"< 0 EU",15,"None Taken","Car(New)",950,"< 100 EU",">= 7 Years","> 35%","None","4 - 7 Years","Car or Other",33,"None","Rent","2 or 3","Skilled Official",">= 3","None","Yes","Bad","Male","Single"
"107",257,"0 <= ... < 200 EU",20,"Delay Paid","Car(Used)",7057,"Unknown","4 <= ... < 7 Years","25% - 35%","None","> 7 Years","Savings Agreement/Life Insurance",36,"Bank","Rent","2 or 3","Highly Qualified",">= 3","Registered","Yes","Good","Male","Single"
"108",258,"No Account",12,"Critical Account","Radio/Television",1291,"< 100 EU","1 <= ... < 4 Years","> 35%","None","1 - 4 Years","Savings Agreement/Life Insurance",35,"None","Own","2 or 3","Skilled Official","< 3","None","Yes","Good","Female","Divorced/Separated/Married"
"109",259,"0 <= ... < 200 EU",12,"Existing Paid","Furniture/Equipment",951,"100 <= ... < 500 EU","< 1 Year","> 35%","None","> 7 Years","Car or Other",27,"Bank","Rent","Above 6","Skilled Official","< 3","None","Yes","Bad","Female","Divorced/Separated/Married"
"110",260,"< 0 EU",24,"Critical Account","Car(Used)",6419,"< 100 EU",">= 7 Years","20% - 25%","None","> 7 Years","Unknown",44,"None","For Free","2 or 3","Highly Qualified",">= 3","Registered","Yes","Good","Female","Divorced/Separated/Married"
"111",261,"No Account",24,"Existing Paid","Car(Used)",2679,"< 100 EU","< 1 Year","> 35%","None","< 1 Year","Unknown",29,"None","Own","1","Highly Qualified","< 3","Registered","Yes","Good","Female","Divorced/Separated/Married"
"112",262,"No Account",12,"Existing Paid","Car(Used)",2445,"Unknown","< 1 Year","20% - 25%","None","> 7 Years","Car or Other",26,"None","Rent","1","Skilled Official","< 3","Registered","Yes","Good","Male","Divorced/Separated/Married"
"113",263,"0 <= ... < 200 EU",9,"Existing Paid","Radio/Television",458,"< 100 EU","1 <= ... < 4 Years","> 35%","None","4 - 7 Years","Real Estate",24,"None","Own","1","Skilled Official","< 3","None","Yes","Good","Male","Single"
