Feature 1,Account.Balance,Duration.of.Credit..month.,Payment.Status.of.Previous.Credit,Purpose,Credit.Amount,Value.Savings.Stocks,Length.of.current.employment,Instalment.per.cent,Guarantors,Duration.in.Current.address,Most.valuable.available.asset,Age..years.,Concurrent.Credits,Type.of.apartment,No.of.Credits.at.this.Bank,Occupation,No.of.dependents,Telephone,Foreign.Worker,Sex,Marital.Status,ID,Creditability,Naive Bayes,Naive Bayes (Bad),Naive Bayes (Good)
66.0,No Account,18.0,None Taken,Business,4165.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Car or Other,36.0,Stores,Own,2 or 3,Skilled Official,>= 3,None,Yes,Male,Single,216.0,Bad,Good,0.31692337274377036,0.6830766272562295
287.0,No Account,21.0,Critical Account,Furniture/Equipment,2288.0,< 100 EU,< 1 Year,> 35%,None,> 7 Years,Savings Agreement/Life Insurance,23.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Female,Divorced/Separated/Married,437.0,Good,Good,0.2336182731102125,0.7663817268897876
636.0,0 <= ... < 200 EU,27.0,Existing Paid,Business,2528.0,< 100 EU,< 1 Year,> 35%,None,< 1 Year,Savings Agreement/Life Insurance,32.0,None,Own,1,Skilled Official,>= 3,Registered,Yes,Female,Divorced/Separated/Married,786.0,Good,Bad,0.7479525274807843,0.2520474725192156
68.0,< 0 EU,18.0,Existing Paid,Car(New),1216.0,< 100 EU,< 1 Year,> 35%,None,4 - 7 Years,Car or Other,23.0,None,Rent,1,Skilled Official,< 3,Registered,Yes,Female,Divorced/Separated/Married,218.0,Bad,Bad,0.9177971400879479,0.08220285991205217
328.0,No Account,12.0,Critical Account,Radio/Television,976.0,Unknown,>= 7 Years,> 35%,None,> 7 Years,Car or Other,35.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Male,Single,478.0,Good,Good,0.008011097361036954,0.991988902638963
396.0,No Account,48.0,Critical Account,Car(New),10127.0,500 <= ... < 1000 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Unknown,44.0,None,For Free,1,Skilled Official,< 3,None,Yes,Male,Single,546.0,Bad,Good,0.365594296580211,0.634405703419789
245.0,0 <= ... < 200 EU,48.0,None Taken,Other,18424.0,< 100 EU,1 <= ... < 4 Years,< 20%,None,1 - 4 Years,Savings Agreement/Life Insurance,32.0,Bank,Own,1,Highly Qualified,< 3,Registered,No,Female,Divorced/Separated/Married,395.0,Bad,Bad,0.9550951855948379,0.044904814405162204
378.0,< 0 EU,24.0,Existing Paid,Other,1755.0,< 100 EU,>= 7 Years,> 35%,Guarantor,> 7 Years,Real Estate,58.0,None,Own,1,Unskilled Resident,< 3,Registered,Yes,Female,Divorced/Separated/Married,528.0,Good,Good,0.3066579030709927,0.6933420969290073
611.0,No Account,42.0,Existing Paid,Radio/Television,7166.0,Unknown,4 <= ... < 7 Years,20% - 25%,None,> 7 Years,Savings Agreement/Life Insurance,29.0,None,Rent,1,Skilled Official,< 3,Registered,Yes,Male,Divorced/Separated/Married,761.0,Good,Good,0.10203844098789791,0.8979615590121021
527.0,No Account,12.0,Existing Paid,Education,719.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,41.0,Bank,Own,1,Unskilled Resident,>= 3,None,Yes,Male,Single,677.0,Bad,Good,0.38844478852477926,0.6115552114752209
659.0,No Account,24.0,Critical Account,Car(New),1940.0,>= 1000 EU,>= 7 Years,> 35%,None,> 7 Years,Real Estate,60.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Male,Single,809.0,Good,Good,0.008133583586184677,0.9918664164138153
530.0,0 <= ... < 200 EU,30.0,All Paid,Furniture/Equipment,3496.0,>= 1000 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Car or Other,34.0,Stores,Own,1,Skilled Official,>= 3,Registered,Yes,Male,Single,680.0,Good,Bad,0.6918447321834429,0.3081552678165571
623.0,0 <= ... < 200 EU,12.0,Existing Paid,Radio/Television,1567.0,< 100 EU,1 <= ... < 4 Years,< 20%,None,< 1 Year,Car or Other,22.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Female,Divorced/Separated/Married,773.0,Good,Good,0.16825163619406944,0.8317483638059306
722.0,< 0 EU,15.0,Existing Paid,Car(New),3959.0,< 100 EU,1 <= ... < 4 Years,25% - 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,29.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Female,Divorced/Separated/Married,872.0,Bad,Bad,0.5571683357344159,0.44283166426558407
361.0,0 <= ... < 200 EU,12.0,Existing Paid,Furniture/Equipment,2762.0,Unknown,>= 7 Years,< 20%,None,1 - 4 Years,Savings Agreement/Life Insurance,25.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Female,Divorced/Separated/Married,511.0,Bad,Good,0.2631805522447139,0.7368194477552861
31.0,< 0 EU,12.0,All Paid,Retraining,339.0,< 100 EU,>= 7 Years,> 35%,None,< 1 Year,Car or Other,45.0,Bank,Own,1,Unskilled Resident,< 3,None,Yes,Male,Divorced/Separated/Married,181.0,Good,Good,0.43682270640563486,0.5631772935943652
261.0,0 <= ... < 200 EU,13.0,Existing Paid,Radio/Television,2101.0,< 100 EU,< 1 Year,20% - 25%,Guarantor,> 7 Years,Savings Agreement/Life Insurance,23.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Female,Divorced/Separated/Married,411.0,Good,Good,0.3503662690130742,0.6496337309869258
638.0,No Account,24.0,Existing Paid,Furniture/Equipment,5511.0,100 <= ... < 500 EU,1 <= ... < 4 Years,> 35%,None,< 1 Year,Car or Other,25.0,Stores,Own,1,Skilled Official,< 3,None,Yes,Male,Single,788.0,Good,Good,0.1772511167928305,0.8227488832071694
747.0,No Account,4.0,Critical Account,Car(New),3380.0,< 100 EU,4 <= ... < 7 Years,< 20%,None,< 1 Year,Real Estate,37.0,None,Own,1,Skilled Official,>= 3,None,Yes,Female,Divorced/Separated/Married,897.0,Good,Good,0.010156579657530924,0.9898434203424692
571.0,< 0 EU,6.0,All Paid,Education,1198.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Unknown,35.0,None,For Free,1,Skilled Official,< 3,None,Yes,Female,Divorced/Separated/Married,721.0,Bad,Bad,0.9497472098111621,0.05025279018883788
216.0,No Account,27.0,Delay Paid,Business,5117.0,< 100 EU,4 <= ... < 7 Years,25% - 35%,None,> 7 Years,Car or Other,26.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Male,Single,366.0,Good,Good,0.33039173496578383,0.6696082650342161
79.0,No Account,36.0,Critical Account,Radio/Television,3342.0,Unknown,>= 7 Years,> 35%,None,1 - 4 Years,Car or Other,51.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Male,Single,229.0,Good,Good,0.011295971612000718,0.9887040283879993
579.0,No Account,24.0,Existing Paid,Car(Used),6313.0,Unknown,>= 7 Years,25% - 35%,None,> 7 Years,Car or Other,41.0,None,Own,1,Highly Qualified,>= 3,Registered,Yes,Male,Single,729.0,Good,Good,0.07479862824584466,0.9252013717541553
384.0,0 <= ... < 200 EU,24.0,Critical Account,Business,2825.0,Unknown,4 <= ... < 7 Years,> 35%,None,4 - 7 Years,Unknown,34.0,None,Own,2 or 3,Skilled Official,>= 3,Registered,Yes,Male,Single,534.0,Good,Good,0.214352800264369,0.785647199735631
40.0,No Account,24.0,Existing Paid,Radio/Television,1278.0,< 100 EU,>= 7 Years,> 35%,None,< 1 Year,Real Estate,36.0,None,Own,1,Highly Qualified,< 3,Registered,Yes,Male,Single,190.0,Good,Good,0.015696650104382835,0.9843033498956172
24.0,< 0 EU,24.0,Existing Paid,Radio/Television,2384.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Real Estate,64.0,Bank,Rent,1,Unskilled Resident,< 3,None,Yes,Male,Single,174.0,Good,Good,0.44920523122619277,0.5507947687738072
693.0,0 <= ... < 200 EU,36.0,Delay Paid,Car(New),7432.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Savings Agreement/Life Insurance,54.0,None,Rent,1,Skilled Official,< 3,None,Yes,Female,Divorced/Separated/Married,843.0,Good,Bad,0.8681093119788194,0.1318906880211806
399.0,No Account,24.0,Delay Paid,Car(New),2538.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,47.0,None,Own,2 or 3,Unskilled Resident,>= 3,None,Yes,Male,Single,549.0,Bad,Good,0.1799866333406037,0.8200133666593964
797.0,< 0 EU,18.0,Existing Paid,Furniture/Equipment,2659.0,>= 1000 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Car or Other,28.0,None,Own,1,Skilled Official,< 3,None,Yes,Male,Single,947.0,Good,Good,0.2568523445942085,0.7431476554057914
742.0,< 0 EU,30.0,None Taken,Furniture/Equipment,4583.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,Guarantor,1 - 4 Years,Real Estate,32.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Male,Divorced/Separated/Married,892.0,Good,Bad,0.6771796456025879,0.3228203543974121
140.0,0 <= ... < 200 EU,30.0,Critical Account,Car(New),4249.0,< 100 EU,Unemployed,> 35%,None,1 - 4 Years,Car or Other,28.0,None,Own,2 or 3,Highly Qualified,< 3,None,Yes,Male,Divorced/Separated/Married,290.0,Bad,Bad,0.7556875571708256,0.24431244282917444
251.0,< 0 EU,15.0,Delay Paid,Furniture/Equipment,3643.0,< 100 EU,>= 7 Years,< 20%,None,> 7 Years,Savings Agreement/Life Insurance,27.0,None,Own,2 or 3,Unskilled Resident,< 3,None,Yes,Female,Divorced/Separated/Married,401.0,Good,Good,0.48462272467558165,0.5153772753244182
175.0,0 <= ... < 200 EU,6.0,Existing Paid,Radio/Television,1068.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,28.0,None,Own,1,Skilled Official,>= 3,None,Yes,Male,Single,325.0,Good,Good,0.12480641091941998,0.87519358908058
324.0,No Account,10.0,Existing Paid,Retraining,894.0,Unknown,4 <= ... < 7 Years,> 35%,None,4 - 7 Years,Savings Agreement/Life Insurance,40.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Female,Divorced/Separated/Married,474.0,Good,Good,0.00644235582183688,0.9935576441781631
596.0,No Account,18.0,Critical Account,Radio/Television,2404.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Car or Other,26.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Female,Divorced/Separated/Married,746.0,Good,Good,0.08844046390936998,0.91155953609063
526.0,0 <= ... < 200 EU,36.0,Existing Paid,Furniture/Equipment,9034.0,100 <= ... < 500 EU,< 1 Year,> 35%,Co-Applicant,< 1 Year,Unknown,29.0,None,Rent,1,Highly Qualified,< 3,Registered,Yes,Male,Single,676.0,Bad,Bad,0.9707250853050434,0.02927491469495652
424.0,0 <= ... < 200 EU,18.0,Existing Paid,Radio/Television,866.0,< 100 EU,1 <= ... < 4 Years,> 35%,Guarantor,1 - 4 Years,Real Estate,25.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Male,Divorced/Separated/Married,574.0,Good,Good,0.19918893957972778,0.8008110604202723
597.0,No Account,12.0,Delay Paid,Car(Used),1503.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Real Estate,41.0,None,Rent,1,Skilled Official,< 3,None,Yes,Male,Divorced/Separated/Married,747.0,Good,Good,0.04406436263679594,0.9559356373632042
605.0,< 0 EU,12.0,Existing Paid,Car(New),759.0,< 100 EU,4 <= ... < 7 Years,> 35%,None,1 - 4 Years,Real Estate,26.0,None,Own,1,Skilled Official,< 3,None,Yes,Male,Single,755.0,Bad,Good,0.2644013490444859,0.735598650955514
535.0,>= 200 EU,24.0,Critical Account,Radio/Television,3148.0,Unknown,1 <= ... < 4 Years,25% - 35%,None,1 - 4 Years,Car or Other,31.0,None,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Male,Single,685.0,Good,Good,0.03457895785791062,0.9654210421420895
266.0,< 0 EU,18.0,Existing Paid,Education,750.0,< 100 EU,Unemployed,> 35%,None,< 1 Year,Real Estate,27.0,None,Own,1,Unemployed Non-resident,< 3,None,Yes,Female,Divorced/Separated/Married,416.0,Bad,Bad,0.7092724786987321,0.2907275213012679
110.0,< 0 EU,24.0,Critical Account,Car(Used),6419.0,< 100 EU,>= 7 Years,20% - 25%,None,> 7 Years,Unknown,44.0,None,For Free,2 or 3,Highly Qualified,>= 3,Registered,Yes,Female,Divorced/Separated/Married,260.0,Good,Bad,0.7474294022218692,0.2525705977781308
667.0,No Account,48.0,Existing Paid,Business,4844.0,< 100 EU,Unemployed,25% - 35%,None,1 - 4 Years,Car or Other,33.0,None,Rent,1,Highly Qualified,< 3,Registered,Yes,Male,Single,817.0,Bad,Bad,0.500011602282844,0.49998839771715603
295.0,< 0 EU,24.0,Existing Paid,Car(New),1381.0,Unknown,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,35.0,None,Own,1,Skilled Official,< 3,None,Yes,Female,Divorced/Separated/Married,445.0,Bad,Good,0.4766672996911887,0.5233327003088112
337.0,No Account,24.0,Critical Account,Furniture/Equipment,2028.0,< 100 EU,4 <= ... < 7 Years,20% - 25%,None,1 - 4 Years,Savings Agreement/Life Insurance,30.0,None,Own,2 or 3,Unskilled Resident,< 3,None,Yes,Male,Single,487.0,Good,Good,0.03382051464253778,0.9661794853574622
369.0,< 0 EU,42.0,Delay Paid,Radio/Television,4370.0,< 100 EU,4 <= ... < 7 Years,25% - 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,26.0,Bank,Own,2 or 3,Skilled Official,>= 3,Registered,Yes,Male,Single,519.0,Bad,Bad,0.7776526393518877,0.22234736064811242
447.0,< 0 EU,36.0,Critical Account,Education,8065.0,< 100 EU,1 <= ... < 4 Years,25% - 35%,None,1 - 4 Years,Unknown,25.0,None,Own,2 or 3,Highly Qualified,< 3,Registered,Yes,Female,Divorced/Separated/Married,597.0,Bad,Bad,0.9587770773983453,0.04122292260165471
334.0,< 0 EU,12.0,Existing Paid,Radio/Television,1680.0,500 <= ... < 1000 EU,>= 7 Years,25% - 35%,None,< 1 Year,Real Estate,35.0,None,Own,1,Skilled Official,< 3,None,Yes,Male,Divorced/Separated/Married,484.0,Good,Good,0.04078771552168481,0.9592122844783151
199.0,< 0 EU,48.0,Existing Paid,Car(Used),10297.0,< 100 EU,4 <= ... < 7 Years,> 35%,None,> 7 Years,Unknown,39.0,None,For Free,4 or 5,Skilled Official,>= 3,Registered,Yes,Male,Single,349.0,Bad,Bad,0.7862627134940474,0.21373728650595258
169.0,< 0 EU,15.0,Existing Paid,Car(New),1403.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,> 7 Years,Car or Other,28.0,None,Rent,1,Skilled Official,< 3,None,Yes,Female,Divorced/Separated/Married,319.0,Good,Bad,0.7267168426922425,0.2732831573077575
482.0,0 <= ... < 200 EU,7.0,Existing Paid,Radio/Television,2576.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,Guarantor,1 - 4 Years,Real Estate,35.0,None,Own,1,Skilled Official,< 3,None,No,Male,Single,632.0,Good,Good,0.013309425902325417,0.9866905740976746
724.0,No Account,20.0,Critical Account,Car(New),3485.0,Unknown,< 1 Year,20% - 25%,None,> 7 Years,Real Estate,44.0,None,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Male,Divorced/Separated/Married,874.0,Good,Good,0.017220915195258653,0.9827790848047413
656.0,0 <= ... < 200 EU,15.0,Existing Paid,Radio/Television,802.0,< 100 EU,>= 7 Years,> 35%,None,4 - 7 Years,Car or Other,37.0,None,Own,1,Skilled Official,>= 3,None,Yes,Male,Single,806.0,Bad,Good,0.18371385993528638,0.8162861400647136
307.0,< 0 EU,12.0,Existing Paid,Radio/Television,1107.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Real Estate,20.0,None,Rent,1,Highly Qualified,>= 3,Registered,Yes,Male,Single,457.0,Good,Good,0.3852812683430054,0.6147187316569945
232.0,0 <= ... < 200 EU,21.0,Existing Paid,Business,1188.0,< 100 EU,>= 7 Years,20% - 25%,None,> 7 Years,Savings Agreement/Life Insurance,39.0,None,Own,1,Skilled Official,>= 3,None,Yes,Female,Divorced/Separated/Married,382.0,Bad,Bad,0.6428039508173269,0.3571960491826731
423.0,0 <= ... < 200 EU,36.0,Delay Paid,Business,9857.0,100 <= ... < 500 EU,4 <= ... < 7 Years,< 20%,None,4 - 7 Years,Savings Agreement/Life Insurance,31.0,None,Own,2 or 3,Unskilled Resident,>= 3,Registered,Yes,Male,Single,573.0,Good,Bad,0.6215634563914834,0.37843654360851664
50.0,< 0 EU,24.0,All Paid,Furniture/Equipment,3349.0,500 <= ... < 1000 EU,< 1 Year,> 35%,None,> 7 Years,Unknown,30.0,None,For Free,1,Skilled Official,>= 3,Registered,Yes,Male,Single,200.0,Bad,Bad,0.9165249497172419,0.08347505028275809
788.0,No Account,18.0,Critical Account,Car(Used),3850.0,< 100 EU,4 <= ... < 7 Years,25% - 35%,None,< 1 Year,Car or Other,27.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Male,Single,938.0,Good,Good,0.011778487049944723,0.9882215129500553
358.0,No Account,6.0,Existing Paid,Car(New),3518.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,Guarantor,4 - 7 Years,Savings Agreement/Life Insurance,26.0,None,Rent,1,Skilled Official,< 3,None,Yes,Male,Single,508.0,Good,Good,0.11136439956045824,0.8886356004395417
87.0,0 <= ... < 200 EU,12.0,Existing Paid,Radio/Television,766.0,500 <= ... < 1000 EU,1 <= ... < 4 Years,> 35%,None,4 - 7 Years,Real Estate,66.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Male,Single,237.0,Bad,Good,0.04125772996076917,0.9587422700392308
546.0,< 0 EU,6.0,Existing Paid,Furniture/Equipment,1374.0,< 100 EU,1 <= ... < 4 Years,< 20%,None,1 - 4 Years,Real Estate,36.0,Bank,Own,1,Unskilled Resident,< 3,Registered,Yes,Male,Single,696.0,Good,Good,0.15066108802084863,0.8493389119791513
193.0,0 <= ... < 200 EU,60.0,Existing Paid,Car(New),7408.0,100 <= ... < 500 EU,< 1 Year,> 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,24.0,None,Own,1,Highly Qualified,< 3,None,Yes,Female,Divorced/Separated/Married,343.0,Bad,Bad,0.9459784154802904,0.05402158451970963
796.0,0 <= ... < 200 EU,18.0,Critical Account,Car(New),884.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,36.0,None,Own,1,Skilled Official,>= 3,Registered,Yes,Male,Single,946.0,Bad,Good,0.2548840197486494,0.7451159802513506
34.0,No Account,11.0,Critical Account,Car(New),1393.0,< 100 EU,< 1 Year,> 35%,None,> 7 Years,Car or Other,35.0,None,Own,2 or 3,Highly Qualified,< 3,None,Yes,Female,Divorced/Separated/Married,184.0,Good,Good,0.07446673284854294,0.9255332671514571
32.0,0 <= ... < 200 EU,30.0,Delay Paid,Radio/Television,1919.0,100 <= ... < 500 EU,< 1 Year,> 35%,None,4 - 7 Years,Unknown,30.0,Stores,Own,2 or 3,Highly Qualified,< 3,None,Yes,Male,Single,182.0,Bad,Bad,0.6555531688388211,0.3444468311611788
200.0,0 <= ... < 200 EU,24.0,Delay Paid,Radio/Television,1553.0,100 <= ... < 500 EU,4 <= ... < 7 Years,25% - 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,23.0,None,Rent,2 or 3,Skilled Official,< 3,Registered,Yes,Female,Divorced/Separated/Married,350.0,Good,Good,0.4110594977965429,0.5889405022034571
366.0,< 0 EU,24.0,Existing Paid,Car(New),1207.0,< 100 EU,< 1 Year,> 35%,None,> 7 Years,Savings Agreement/Life Insurance,24.0,None,Rent,1,Skilled Official,< 3,None,Yes,Female,Divorced/Separated/Married,516.0,Bad,Bad,0.9498540537001986,0.05014594629980135
487.0,0 <= ... < 200 EU,36.0,Existing Paid,Radio/Television,2323.0,< 100 EU,4 <= ... < 7 Years,> 35%,None,> 7 Years,Car or Other,24.0,None,Rent,1,Skilled Official,< 3,None,Yes,Male,Single,637.0,Good,Bad,0.6554011870239455,0.34459881297605455
595.0,0 <= ... < 200 EU,24.0,Existing Paid,Car(New),1355.0,< 100 EU,< 1 Year,25% - 35%,None,> 7 Years,Car or Other,25.0,None,Own,1,Unskilled Resident,< 3,Registered,Yes,Female,Divorced/Separated/Married,745.0,Bad,Bad,0.7994122096124902,0.20058779038750987
569.0,0 <= ... < 200 EU,24.0,Delay Paid,Business,4712.0,Unknown,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,34.0,Bank,Own,2 or 3,Highly Qualified,< 3,Registered,Yes,Male,Single,719.0,Good,Bad,0.6150838237970843,0.3849161762029158
429.0,< 0 EU,12.0,Existing Paid,Car(New),1168.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,4 - 7 Years,Real Estate,27.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Male,Divorced/Separated/Married,579.0,Good,Good,0.46925282886845004,0.53074717113155
138.0,0 <= ... < 200 EU,18.0,Existing Paid,Car(Used),12976.0,< 100 EU,Unemployed,25% - 35%,None,> 7 Years,Unknown,38.0,None,For Free,1,Highly Qualified,< 3,Registered,Yes,Female,Divorced/Separated/Married,288.0,Bad,Bad,0.8501447913495308,0.14985520865046925
73.0,< 0 EU,48.0,All Paid,Business,7685.0,< 100 EU,4 <= ... < 7 Years,20% - 25%,Guarantor,> 7 Years,Car or Other,37.0,None,Rent,1,Skilled Official,< 3,None,Yes,Female,Divorced/Separated/Married,223.0,Bad,Bad,0.9333479966446778,0.0666520033553222
78.0,No Account,12.0,Existing Paid,Car(New),1884.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,39.0,None,Own,1,Highly Qualified,< 3,Registered,Yes,Male,Single,228.0,Good,Good,0.07230142711239657,0.9276985728876035
513.0,>= 200 EU,24.0,Critical Account,Furniture/Equipment,3617.0,Unknown,>= 7 Years,> 35%,Co-Applicant,> 7 Years,Unknown,20.0,None,Rent,2 or 3,Skilled Official,< 3,None,Yes,Male,Single,663.0,Good,Bad,0.563582316559646,0.436417683440354
784.0,0 <= ... < 200 EU,12.0,None Taken,Retraining,1410.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Real Estate,31.0,None,Own,1,Unskilled Resident,< 3,Registered,Yes,Male,Single,934.0,Good,Good,0.06708600769539814,0.9329139923046019
787.0,>= 200 EU,24.0,Existing Paid,Radio/Television,1258.0,500 <= ... < 1000 EU,1 <= ... < 4 Years,25% - 35%,None,4 - 7 Years,Car or Other,57.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Female,Divorced/Separated/Married,937.0,Good,Good,0.10617052902916023,0.8938294709708399
276.0,No Account,10.0,Existing Paid,Car(New),1418.0,100 <= ... < 500 EU,1 <= ... < 4 Years,25% - 35%,None,1 - 4 Years,Real Estate,35.0,None,Rent,1,Unskilled Resident,< 3,None,No,Male,Single,426.0,Good,Good,0.014231909311026374,0.9857680906889736
362.0,< 0 EU,6.0,Existing Paid,Car(New),1203.0,100 <= ... < 500 EU,>= 7 Years,25% - 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,43.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Male,Single,512.0,Good,Good,0.18934104836519075,0.8106589516348093
97.0,No Account,11.0,Critical Account,Car(New),7228.0,< 100 EU,1 <= ... < 4 Years,< 20%,None,> 7 Years,Savings Agreement/Life Insurance,39.0,None,Own,2 or 3,Unskilled Resident,< 3,None,Yes,Male,Single,247.0,Good,Good,0.0335945477900491,0.966405452209951
642.0,>= 200 EU,6.0,Existing Paid,Car(New),709.0,>= 1000 EU,< 1 Year,20% - 25%,None,1 - 4 Years,Real Estate,27.0,None,Own,1,Unemployed Non-resident,< 3,None,No,Male,Divorced/Separated/Married,792.0,Good,Good,0.022389874214647377,0.9776101257853527
716.0,< 0 EU,10.0,Existing Paid,Radio/Television,2315.0,< 100 EU,>= 7 Years,25% - 35%,None,> 7 Years,Real Estate,52.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Male,Single,866.0,Good,Good,0.04292364216967637,0.9570763578303236
