Sex,Account.Balance,Duration.of.Credit..month.,Payment.Status.of.Previous.Credit,Purpose,Credit.Amount,Value.Savings.Stocks,Length.of.current.employment,Instalment.per.cent,Guarantors,Duration.in.Current.address,Most.valuable.available.asset,Age..years.,Concurrent.Credits,Type.of.apartment,No.of.Credits.at.this.Bank,Occupation,No.of.dependents,Telephone,Foreign.Worker,Marital.Status,Creditability,Logistic Regression,Logistic Regression (Bad),Logistic Regression (Good)
Male,No Account,12.0,Critical Account,Radio/Television,976.0,Unknown,>= 7 Years,> 35%,None,> 7 Years,Car or Other,35.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Single,Good,Good,0.028553759980151305,0.9714462400198487
Male,No Account,48.0,Critical Account,Car(New),10127.0,500 <= ... < 1000 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Unknown,44.0,None,For Free,1,Skilled Official,< 3,None,Yes,Single,Bad,Good,0.23613430743643427,0.7638656925635657
Female,0 <= ... < 200 EU,48.0,None Taken,Other,18424.0,< 100 EU,1 <= ... < 4 Years,< 20%,None,1 - 4 Years,Savings Agreement/Life Insurance,32.0,Bank,Own,1,Highly Qualified,< 3,Registered,No,Divorced/Separated/Married,Bad,Bad,0.7262492158428053,0.2737507841571947
Female,< 0 EU,24.0,Existing Paid,Other,1755.0,< 100 EU,>= 7 Years,> 35%,Guarantor,> 7 Years,Real Estate,58.0,None,Own,1,Unskilled Resident,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.1602684360512654,0.8397315639487346
Male,No Account,42.0,Existing Paid,Radio/Television,7166.0,Unknown,4 <= ... < 7 Years,20% - 25%,None,> 7 Years,Savings Agreement/Life Insurance,29.0,None,Rent,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.06311397281991593,0.9368860271800841
Male,No Account,12.0,Existing Paid,Education,719.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,41.0,Bank,Own,1,Unskilled Resident,>= 3,None,Yes,Single,Bad,Good,0.3890589460072247,0.6109410539927753
Male,No Account,24.0,Critical Account,Car(New),1940.0,>= 1000 EU,>= 7 Years,> 35%,None,> 7 Years,Real Estate,60.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.016900715725464144,0.9830992842745359
Male,0 <= ... < 200 EU,30.0,All Paid,Furniture/Equipment,3496.0,>= 1000 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Car or Other,34.0,Stores,Own,1,Skilled Official,>= 3,Registered,Yes,Single,Good,Good,0.4314673218023123,0.5685326781976877
Female,0 <= ... < 200 EU,12.0,Existing Paid,Radio/Television,1567.0,< 100 EU,1 <= ... < 4 Years,< 20%,None,< 1 Year,Car or Other,22.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.129803651618282,0.870196348381718
Female,< 0 EU,15.0,Existing Paid,Car(New),3959.0,< 100 EU,1 <= ... < 4 Years,25% - 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,29.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Bad,Bad,0.7102622907687841,0.2897377092312159
Female,0 <= ... < 200 EU,12.0,Existing Paid,Furniture/Equipment,2762.0,Unknown,>= 7 Years,< 20%,None,1 - 4 Years,Savings Agreement/Life Insurance,25.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Bad,Good,0.17828323935911072,0.8217167606408893
Male,< 0 EU,12.0,All Paid,Retraining,339.0,< 100 EU,>= 7 Years,> 35%,None,< 1 Year,Car or Other,45.0,Bank,Own,1,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.3964149914241182,0.6035850085758818
Female,0 <= ... < 200 EU,13.0,Existing Paid,Radio/Television,2101.0,< 100 EU,< 1 Year,20% - 25%,Guarantor,> 7 Years,Savings Agreement/Life Insurance,23.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.21779007214723167,0.7822099278527683
Male,No Account,24.0,Existing Paid,Furniture/Equipment,5511.0,100 <= ... < 500 EU,1 <= ... < 4 Years,> 35%,None,< 1 Year,Car or Other,25.0,Stores,Own,1,Skilled Official,< 3,None,Yes,Single,Good,Good,0.09148405691183104,0.908515943088169
Female,No Account,4.0,Critical Account,Car(New),3380.0,< 100 EU,4 <= ... < 7 Years,< 20%,None,< 1 Year,Real Estate,37.0,None,Own,1,Skilled Official,>= 3,None,Yes,Divorced/Separated/Married,Good,Good,0.027583657362693303,0.9724163426373067
Female,< 0 EU,6.0,All Paid,Education,1198.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Unknown,35.0,None,For Free,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Bad,Bad,0.8333544604494154,0.16664553955058461
Male,No Account,27.0,Delay Paid,Business,5117.0,< 100 EU,4 <= ... < 7 Years,25% - 35%,None,> 7 Years,Car or Other,26.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Single,Good,Good,0.11939445253542558,0.8806055474645744
Male,No Account,36.0,Critical Account,Radio/Television,3342.0,Unknown,>= 7 Years,> 35%,None,1 - 4 Years,Car or Other,51.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.026904642977678805,0.9730953570223212
Male,No Account,24.0,Existing Paid,Car(Used),6313.0,Unknown,>= 7 Years,25% - 35%,None,> 7 Years,Car or Other,41.0,None,Own,1,Highly Qualified,>= 3,Registered,Yes,Single,Good,Good,0.052189245513125204,0.9478107544868748
Male,0 <= ... < 200 EU,24.0,Critical Account,Business,2825.0,Unknown,4 <= ... < 7 Years,> 35%,None,4 - 7 Years,Unknown,34.0,None,Own,2 or 3,Skilled Official,>= 3,Registered,Yes,Single,Good,Good,0.25584364638136503,0.744156353618635
Male,No Account,24.0,Existing Paid,Radio/Television,1278.0,< 100 EU,>= 7 Years,> 35%,None,< 1 Year,Real Estate,36.0,None,Own,1,Highly Qualified,< 3,Registered,Yes,Single,Good,Good,0.03898856844193721,0.9610114315580628
Male,< 0 EU,24.0,Existing Paid,Radio/Television,2384.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Real Estate,64.0,Bank,Rent,1,Unskilled Resident,< 3,None,Yes,Single,Good,Bad,0.5799255708477893,0.4200744291522107
Female,0 <= ... < 200 EU,36.0,Delay Paid,Car(New),7432.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Savings Agreement/Life Insurance,54.0,None,Rent,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Bad,0.6967240103189261,0.303275989681074
Male,No Account,24.0,Delay Paid,Car(New),2538.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,47.0,None,Own,2 or 3,Unskilled Resident,>= 3,None,Yes,Single,Bad,Good,0.32672322694235734,0.6732767730576427
Male,< 0 EU,18.0,Existing Paid,Furniture/Equipment,2659.0,>= 1000 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Car or Other,28.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Good,Good,0.2523956937416747,0.7476043062583253
Male,< 0 EU,30.0,None Taken,Furniture/Equipment,4583.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,Guarantor,1 - 4 Years,Real Estate,32.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.3212879760598606,0.6787120239401394
Male,0 <= ... < 200 EU,30.0,Critical Account,Car(New),4249.0,< 100 EU,Unemployed,> 35%,None,1 - 4 Years,Car or Other,28.0,None,Own,2 or 3,Highly Qualified,< 3,None,Yes,Divorced/Separated/Married,Bad,Bad,0.5667971241717839,0.43320287582821615
Female,< 0 EU,15.0,Delay Paid,Furniture/Equipment,3643.0,< 100 EU,>= 7 Years,< 20%,None,> 7 Years,Savings Agreement/Life Insurance,27.0,None,Own,2 or 3,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.3744144496705475,0.6255855503294525
Male,0 <= ... < 200 EU,6.0,Existing Paid,Radio/Television,1068.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,28.0,None,Own,1,Skilled Official,>= 3,None,Yes,Single,Good,Good,0.4847484352697058,0.5152515647302942
Female,No Account,10.0,Existing Paid,Retraining,894.0,Unknown,4 <= ... < 7 Years,> 35%,None,4 - 7 Years,Savings Agreement/Life Insurance,40.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.030095132111798484,0.9699048678882015
Female,No Account,18.0,Critical Account,Radio/Television,2404.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Car or Other,26.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.09015277181434989,0.9098472281856501
Male,0 <= ... < 200 EU,36.0,Existing Paid,Furniture/Equipment,9034.0,100 <= ... < 500 EU,< 1 Year,> 35%,Co-Applicant,< 1 Year,Unknown,29.0,None,Rent,1,Highly Qualified,< 3,Registered,Yes,Single,Bad,Bad,0.7209275542884543,0.2790724457115457
Male,0 <= ... < 200 EU,18.0,Existing Paid,Radio/Television,866.0,< 100 EU,1 <= ... < 4 Years,> 35%,Guarantor,1 - 4 Years,Real Estate,25.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.14647182741369158,0.8535281725863084
Male,No Account,12.0,Delay Paid,Car(Used),1503.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Real Estate,41.0,None,Rent,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.023873376848067007,0.976126623151933
Male,< 0 EU,12.0,Existing Paid,Car(New),759.0,< 100 EU,4 <= ... < 7 Years,> 35%,None,1 - 4 Years,Real Estate,26.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Bad,Good,0.4141412244331655,0.5858587755668345
Male,>= 200 EU,24.0,Critical Account,Radio/Television,3148.0,Unknown,1 <= ... < 4 Years,25% - 35%,None,1 - 4 Years,Car or Other,31.0,None,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.07362287064557682,0.9263771293544232
Female,< 0 EU,18.0,Existing Paid,Education,750.0,< 100 EU,Unemployed,> 35%,None,< 1 Year,Real Estate,27.0,None,Own,1,Unemployed Non-resident,< 3,None,Yes,Divorced/Separated/Married,Bad,Good,0.4457061106409732,0.5542938893590268
Female,< 0 EU,24.0,Critical Account,Car(Used),6419.0,< 100 EU,>= 7 Years,20% - 25%,None,> 7 Years,Unknown,44.0,None,For Free,2 or 3,Highly Qualified,>= 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.3718933208967723,0.6281066791032277
Male,No Account,48.0,Existing Paid,Business,4844.0,< 100 EU,Unemployed,25% - 35%,None,1 - 4 Years,Car or Other,33.0,None,Rent,1,Highly Qualified,< 3,Registered,Yes,Single,Bad,Good,0.38406607413962235,0.6159339258603777
Female,< 0 EU,24.0,Existing Paid,Car(New),1381.0,Unknown,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,35.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Bad,Bad,0.5622853437420233,0.4377146562579767
Male,No Account,24.0,Critical Account,Furniture/Equipment,2028.0,< 100 EU,4 <= ... < 7 Years,20% - 25%,None,1 - 4 Years,Savings Agreement/Life Insurance,30.0,None,Own,2 or 3,Unskilled Resident,< 3,None,Yes,Single,Good,Good,0.034280238865539214,0.9657197611344608
Male,< 0 EU,42.0,Delay Paid,Radio/Television,4370.0,< 100 EU,4 <= ... < 7 Years,25% - 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,26.0,Bank,Own,2 or 3,Skilled Official,>= 3,Registered,Yes,Single,Bad,Bad,0.697958650725174,0.302041349274826
Female,< 0 EU,36.0,Critical Account,Education,8065.0,< 100 EU,1 <= ... < 4 Years,25% - 35%,None,1 - 4 Years,Unknown,25.0,None,Own,2 or 3,Highly Qualified,< 3,Registered,Yes,Divorced/Separated/Married,Bad,Bad,0.8323937244269173,0.16760627557308266
Male,< 0 EU,12.0,Existing Paid,Radio/Television,1680.0,500 <= ... < 1000 EU,>= 7 Years,25% - 35%,None,< 1 Year,Real Estate,35.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.1976118542396773,0.8023881457603227
Male,< 0 EU,48.0,Existing Paid,Car(Used),10297.0,< 100 EU,4 <= ... < 7 Years,> 35%,None,> 7 Years,Unknown,39.0,None,For Free,4 or 5,Skilled Official,>= 3,Registered,Yes,Single,Bad,Bad,0.676128905445144,0.323871094554856
Female,< 0 EU,15.0,Existing Paid,Car(New),1403.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,> 7 Years,Car or Other,28.0,None,Rent,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Bad,0.6836768603423349,0.3163231396576652
Male,0 <= ... < 200 EU,7.0,Existing Paid,Radio/Television,2576.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,Guarantor,1 - 4 Years,Real Estate,35.0,None,Own,1,Skilled Official,< 3,None,No,Single,Good,Good,0.03789701584587646,0.9621029841541235
Male,No Account,20.0,Critical Account,Car(New),3485.0,Unknown,< 1 Year,20% - 25%,None,> 7 Years,Real Estate,44.0,None,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.023669614505942405,0.9763303854940576
Male,0 <= ... < 200 EU,15.0,Existing Paid,Radio/Television,802.0,< 100 EU,>= 7 Years,> 35%,None,4 - 7 Years,Car or Other,37.0,None,Own,1,Skilled Official,>= 3,None,Yes,Single,Bad,Bad,0.6202816101623894,0.3797183898376106
Male,< 0 EU,12.0,Existing Paid,Radio/Television,1107.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Real Estate,20.0,None,Rent,1,Highly Qualified,>= 3,Registered,Yes,Single,Good,Good,0.37060072613131256,0.6293992738686874
Female,0 <= ... < 200 EU,21.0,Existing Paid,Business,1188.0,< 100 EU,>= 7 Years,20% - 25%,None,> 7 Years,Savings Agreement/Life Insurance,39.0,None,Own,1,Skilled Official,>= 3,None,Yes,Divorced/Separated/Married,Bad,Bad,0.5785182337209707,0.4214817662790293
Male,0 <= ... < 200 EU,36.0,Delay Paid,Business,9857.0,100 <= ... < 500 EU,4 <= ... < 7 Years,< 20%,None,4 - 7 Years,Savings Agreement/Life Insurance,31.0,None,Own,2 or 3,Unskilled Resident,>= 3,Registered,Yes,Single,Good,Good,0.3793158930796726,0.6206841069203274
Male,< 0 EU,24.0,All Paid,Furniture/Equipment,3349.0,500 <= ... < 1000 EU,< 1 Year,> 35%,None,> 7 Years,Unknown,30.0,None,For Free,1,Skilled Official,>= 3,Registered,Yes,Single,Bad,Bad,0.7168655490071665,0.2831344509928335
Male,No Account,18.0,Critical Account,Car(Used),3850.0,< 100 EU,4 <= ... < 7 Years,25% - 35%,None,< 1 Year,Car or Other,27.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Single,Good,Good,0.017196589756284908,0.9828034102437151
Male,No Account,6.0,Existing Paid,Car(New),3518.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,Guarantor,4 - 7 Years,Savings Agreement/Life Insurance,26.0,None,Rent,1,Skilled Official,< 3,None,Yes,Single,Good,Good,0.1468413229085428,0.8531586770914572
Male,0 <= ... < 200 EU,12.0,Existing Paid,Radio/Television,766.0,500 <= ... < 1000 EU,1 <= ... < 4 Years,> 35%,None,4 - 7 Years,Real Estate,66.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Single,Bad,Good,0.137915434585698,0.862084565414302
Male,< 0 EU,6.0,Existing Paid,Furniture/Equipment,1374.0,< 100 EU,1 <= ... < 4 Years,< 20%,None,1 - 4 Years,Real Estate,36.0,Bank,Own,1,Unskilled Resident,< 3,Registered,Yes,Single,Good,Good,0.14961303878725307,0.8503869612127469
Female,0 <= ... < 200 EU,60.0,Existing Paid,Car(New),7408.0,100 <= ... < 500 EU,< 1 Year,> 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,24.0,None,Own,1,Highly Qualified,< 3,None,Yes,Divorced/Separated/Married,Bad,Bad,0.9277052286257189,0.07229477137428113
Male,0 <= ... < 200 EU,18.0,Critical Account,Car(New),884.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,36.0,None,Own,1,Skilled Official,>= 3,Registered,Yes,Single,Bad,Good,0.33034393618964597,0.669656063810354
Female,No Account,11.0,Critical Account,Car(New),1393.0,< 100 EU,< 1 Year,> 35%,None,> 7 Years,Car or Other,35.0,None,Own,2 or 3,Highly Qualified,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.19366924258132379,0.8063307574186762
Male,0 <= ... < 200 EU,30.0,Delay Paid,Radio/Television,1919.0,100 <= ... < 500 EU,< 1 Year,> 35%,None,4 - 7 Years,Unknown,30.0,Stores,Own,2 or 3,Highly Qualified,< 3,None,Yes,Single,Bad,Bad,0.6513216508185726,0.3486783491814274
Female,0 <= ... < 200 EU,24.0,Delay Paid,Radio/Television,1553.0,100 <= ... < 500 EU,4 <= ... < 7 Years,25% - 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,23.0,None,Rent,2 or 3,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.42401907094404223,0.5759809290559578
Female,< 0 EU,24.0,Existing Paid,Car(New),1207.0,< 100 EU,< 1 Year,> 35%,None,> 7 Years,Savings Agreement/Life Insurance,24.0,None,Rent,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Bad,Bad,0.8902446382186069,0.1097553617813931
Male,0 <= ... < 200 EU,36.0,Existing Paid,Radio/Television,2323.0,< 100 EU,4 <= ... < 7 Years,> 35%,None,> 7 Years,Car or Other,24.0,None,Rent,1,Skilled Official,< 3,None,Yes,Single,Good,Bad,0.5145032147119848,0.4854967852880152
Female,0 <= ... < 200 EU,24.0,Existing Paid,Car(New),1355.0,< 100 EU,< 1 Year,25% - 35%,None,> 7 Years,Car or Other,25.0,None,Own,1,Unskilled Resident,< 3,Registered,Yes,Divorced/Separated/Married,Bad,Bad,0.6700095456215364,0.32999045437846364
Male,0 <= ... < 200 EU,24.0,Delay Paid,Business,4712.0,Unknown,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,34.0,Bank,Own,2 or 3,Highly Qualified,< 3,Registered,Yes,Single,Good,Good,0.23042671259027014,0.7695732874097299
Male,< 0 EU,12.0,Existing Paid,Car(New),1168.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,4 - 7 Years,Real Estate,27.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Good,Bad,0.5212909527685583,0.4787090472314417
Female,0 <= ... < 200 EU,18.0,Existing Paid,Car(Used),12976.0,< 100 EU,Unemployed,25% - 35%,None,> 7 Years,Unknown,38.0,None,For Free,1,Highly Qualified,< 3,Registered,Yes,Divorced/Separated/Married,Bad,Bad,0.5098669403862488,0.49013305961375114
Female,< 0 EU,48.0,All Paid,Business,7685.0,< 100 EU,4 <= ... < 7 Years,20% - 25%,Guarantor,> 7 Years,Car or Other,37.0,None,Rent,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Bad,Bad,0.6277368055211903,0.3722631944788098
Male,No Account,12.0,Existing Paid,Car(New),1884.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,39.0,None,Own,1,Highly Qualified,< 3,Registered,Yes,Single,Good,Good,0.13383466367783103,0.866165336322169
Male,>= 200 EU,24.0,Critical Account,Furniture/Equipment,3617.0,Unknown,>= 7 Years,> 35%,Co-Applicant,> 7 Years,Unknown,20.0,None,Rent,2 or 3,Skilled Official,< 3,None,Yes,Single,Good,Good,0.4121496781524062,0.5878503218475938
Male,0 <= ... < 200 EU,12.0,None Taken,Retraining,1410.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Real Estate,31.0,None,Own,1,Unskilled Resident,< 3,Registered,Yes,Single,Good,Good,0.11824669693898637,0.8817533030610136
Female,>= 200 EU,24.0,Existing Paid,Radio/Television,1258.0,500 <= ... < 1000 EU,1 <= ... < 4 Years,25% - 35%,None,4 - 7 Years,Car or Other,57.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.2863787574450616,0.7136212425549384
Male,No Account,10.0,Existing Paid,Car(New),1418.0,100 <= ... < 500 EU,1 <= ... < 4 Years,25% - 35%,None,1 - 4 Years,Real Estate,35.0,None,Rent,1,Unskilled Resident,< 3,None,No,Single,Good,Good,0.10648900215713097,0.893510997842869
Male,< 0 EU,6.0,Existing Paid,Car(New),1203.0,100 <= ... < 500 EU,>= 7 Years,25% - 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,43.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.4663520635428495,0.5336479364571505
Male,No Account,11.0,Critical Account,Car(New),7228.0,< 100 EU,1 <= ... < 4 Years,< 20%,None,> 7 Years,Savings Agreement/Life Insurance,39.0,None,Own,2 or 3,Unskilled Resident,< 3,None,Yes,Single,Good,Good,0.0761047657056757,0.9238952342943243
Male,>= 200 EU,6.0,Existing Paid,Car(New),709.0,>= 1000 EU,< 1 Year,20% - 25%,None,1 - 4 Years,Real Estate,27.0,None,Own,1,Unemployed Non-resident,< 3,None,No,Divorced/Separated/Married,Good,Good,0.06611002416449996,0.9338899758355
Male,< 0 EU,10.0,Existing Paid,Radio/Television,2315.0,< 100 EU,>= 7 Years,25% - 35%,None,> 7 Years,Real Estate,52.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Single,Good,Good,0.28360420167531897,0.716395798324681
Male,0 <= ... < 200 EU,12.0,Existing Paid,Radio/Television,1158.0,500 <= ... < 1000 EU,1 <= ... < 4 Years,25% - 35%,None,< 1 Year,Car or Other,26.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.10859909823212854,0.8914009017678715
Male,< 0 EU,24.0,Existing Paid,Radio/Television,1823.0,< 100 EU,Unemployed,> 35%,None,1 - 4 Years,Car or Other,30.0,Stores,Own,1,Highly Qualified,>= 3,None,Yes,Single,Bad,Bad,0.671370973743479,0.3286290262565211
Male,< 0 EU,9.0,Critical Account,Car(New),2799.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Real Estate,36.0,None,Rent,2 or 3,Skilled Official,>= 3,None,Yes,Single,Good,Bad,0.542324550417006,0.457675449582994
Male,0 <= ... < 200 EU,48.0,Existing Paid,Business,15672.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Car or Other,23.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Single,Bad,Bad,0.6927980663107218,0.3072019336892782
Male,< 0 EU,13.0,Critical Account,Business,1797.0,< 100 EU,< 1 Year,25% - 35%,None,< 1 Year,Savings Agreement/Life Insurance,28.0,Bank,Own,2 or 3,Unskilled Resident,< 3,None,Yes,Single,Good,Good,0.3605412902395726,0.6394587097604274
