Sex,Account.Balance,Duration.of.Credit..month.,Payment.Status.of.Previous.Credit,Purpose,Credit.Amount,Value.Savings.Stocks,Length.of.current.employment,Instalment.per.cent,Guarantors,Duration.in.Current.address,Most.valuable.available.asset,Age..years.,Concurrent.Credits,Type.of.apartment,No.of.Credits.at.this.Bank,Occupation,No.of.dependents,Telephone,Foreign.Worker,Marital.Status,Creditability,ID,SVM,SVM (Bad),SVM (Good),Fold
Male,No Account,18.0,None Taken,Business,4165.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Car or Other,36.0,Stores,Own,2 or 3,Skilled Official,>= 3,None,Yes,Single,Bad,216.0,Good,0.3584842886699437,0.6415157113300562,1
Female,No Account,21.0,Critical Account,Furniture/Equipment,2288.0,< 100 EU,< 1 Year,> 35%,None,> 7 Years,Savings Agreement/Life Insurance,23.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,437.0,Good,0.1064012412170531,0.8935987587829469,1
Female,0 <= ... < 200 EU,27.0,Existing Paid,Business,2528.0,< 100 EU,< 1 Year,> 35%,None,< 1 Year,Savings Agreement/Life Insurance,32.0,None,Own,1,Skilled Official,>= 3,Registered,Yes,Divorced/Separated/Married,Good,786.0,Bad,0.4106302517992297,0.5893697482007705,1
Female,< 0 EU,18.0,Existing Paid,Car(New),1216.0,< 100 EU,< 1 Year,> 35%,None,4 - 7 Years,Car or Other,23.0,None,Rent,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Bad,218.0,Bad,0.5825583413130058,0.4174416586869944,1
Male,No Account,12.0,Critical Account,Radio/Television,976.0,Unknown,>= 7 Years,> 35%,None,> 7 Years,Car or Other,35.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Single,Good,478.0,Good,0.08479451416659431,0.9152054858334058,1
Male,No Account,48.0,Critical Account,Car(New),10127.0,500 <= ... < 1000 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Unknown,44.0,None,For Free,1,Skilled Official,< 3,None,Yes,Single,Bad,546.0,Good,0.33273711848624465,0.6672628815137553,1
Female,0 <= ... < 200 EU,48.0,None Taken,Other,18424.0,< 100 EU,1 <= ... < 4 Years,< 20%,None,1 - 4 Years,Savings Agreement/Life Insurance,32.0,Bank,Own,1,Highly Qualified,< 3,Registered,No,Divorced/Separated/Married,Bad,395.0,Bad,0.5248227243038864,0.47517727569611373,1
Female,< 0 EU,24.0,Existing Paid,Other,1755.0,< 100 EU,>= 7 Years,> 35%,Guarantor,> 7 Years,Real Estate,58.0,None,Own,1,Unskilled Resident,< 3,Registered,Yes,Divorced/Separated/Married,Good,528.0,Bad,0.424701143939594,0.575298856060406,1
Male,No Account,42.0,Existing Paid,Radio/Television,7166.0,Unknown,4 <= ... < 7 Years,20% - 25%,None,> 7 Years,Savings Agreement/Life Insurance,29.0,None,Rent,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,761.0,Good,0.1918824576511533,0.8081175423488467,1
Male,No Account,12.0,Existing Paid,Education,719.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,41.0,Bank,Own,1,Unskilled Resident,>= 3,None,Yes,Single,Bad,677.0,Bad,0.3992077624353067,0.6007922375646934,1
Male,No Account,24.0,Critical Account,Car(New),1940.0,>= 1000 EU,>= 7 Years,> 35%,None,> 7 Years,Real Estate,60.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Single,Good,809.0,Good,0.21201335983954997,0.7879866401604501,1
Male,0 <= ... < 200 EU,30.0,All Paid,Furniture/Equipment,3496.0,>= 1000 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Car or Other,34.0,Stores,Own,1,Skilled Official,>= 3,Registered,Yes,Single,Good,680.0,Bad,0.536954236544897,0.4630457634551029,1
Female,0 <= ... < 200 EU,12.0,Existing Paid,Radio/Television,1567.0,< 100 EU,1 <= ... < 4 Years,< 20%,None,< 1 Year,Car or Other,22.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,773.0,Good,0.1790285194443642,0.8209714805556357,1
Female,< 0 EU,15.0,Existing Paid,Car(New),3959.0,< 100 EU,1 <= ... < 4 Years,25% - 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,29.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Bad,872.0,Bad,0.549970326336746,0.45002967366325397,1
Female,0 <= ... < 200 EU,12.0,Existing Paid,Furniture/Equipment,2762.0,Unknown,>= 7 Years,< 20%,None,1 - 4 Years,Savings Agreement/Life Insurance,25.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Bad,511.0,Bad,0.4424703140628527,0.5575296859371474,1
Male,< 0 EU,12.0,All Paid,Retraining,339.0,< 100 EU,>= 7 Years,> 35%,None,< 1 Year,Car or Other,45.0,Bank,Own,1,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Good,181.0,Bad,0.48663944328902364,0.5133605567109766,1
Female,0 <= ... < 200 EU,13.0,Existing Paid,Radio/Television,2101.0,< 100 EU,< 1 Year,20% - 25%,Guarantor,> 7 Years,Savings Agreement/Life Insurance,23.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Good,411.0,Good,0.3170408975832675,0.6829591024167324,1
Male,No Account,24.0,Existing Paid,Furniture/Equipment,5511.0,100 <= ... < 500 EU,1 <= ... < 4 Years,> 35%,None,< 1 Year,Car or Other,25.0,Stores,Own,1,Skilled Official,< 3,None,Yes,Single,Good,788.0,Good,0.17182095897354852,0.8281790410264515,1
Female,No Account,4.0,Critical Account,Car(New),3380.0,< 100 EU,4 <= ... < 7 Years,< 20%,None,< 1 Year,Real Estate,37.0,None,Own,1,Skilled Official,>= 3,None,Yes,Divorced/Separated/Married,Good,897.0,Good,0.2060737460224578,0.7939262539775422,1
Female,< 0 EU,6.0,All Paid,Education,1198.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Unknown,35.0,None,For Free,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Bad,721.0,Bad,0.5878582354046653,0.4121417645953348,1
Male,No Account,27.0,Delay Paid,Business,5117.0,< 100 EU,4 <= ... < 7 Years,25% - 35%,None,> 7 Years,Car or Other,26.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Single,Good,366.0,Good,0.19603339675805795,0.803966603241942,1
Male,No Account,36.0,Critical Account,Radio/Television,3342.0,Unknown,>= 7 Years,> 35%,None,1 - 4 Years,Car or Other,51.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Single,Good,229.0,Good,0.12697861108194594,0.8730213889180541,1
Male,No Account,24.0,Existing Paid,Car(Used),6313.0,Unknown,>= 7 Years,25% - 35%,None,> 7 Years,Car or Other,41.0,None,Own,1,Highly Qualified,>= 3,Registered,Yes,Single,Good,729.0,Good,0.26366936046987477,0.7363306395301253,1
Male,0 <= ... < 200 EU,24.0,Critical Account,Business,2825.0,Unknown,4 <= ... < 7 Years,> 35%,None,4 - 7 Years,Unknown,34.0,None,Own,2 or 3,Skilled Official,>= 3,Registered,Yes,Single,Good,534.0,Good,0.33074597168802344,0.6692540283119766,1
Male,No Account,24.0,Existing Paid,Radio/Television,1278.0,< 100 EU,>= 7 Years,> 35%,None,< 1 Year,Real Estate,36.0,None,Own,1,Highly Qualified,< 3,Registered,Yes,Single,Good,190.0,Good,0.24075338506247604,0.759246614937524,1
Male,< 0 EU,24.0,Existing Paid,Radio/Television,2384.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Real Estate,64.0,Bank,Rent,1,Unskilled Resident,< 3,None,Yes,Single,Good,174.0,Good,0.3545690049209923,0.6454309950790078,1
Female,0 <= ... < 200 EU,36.0,Delay Paid,Car(New),7432.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Savings Agreement/Life Insurance,54.0,None,Rent,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,843.0,Good,0.2722336817156182,0.727766318284382,1
Male,No Account,24.0,Delay Paid,Car(New),2538.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,47.0,None,Own,2 or 3,Unskilled Resident,>= 3,None,Yes,Single,Bad,549.0,Bad,0.48271726088522876,0.5172827391147713,1
Male,< 0 EU,18.0,Existing Paid,Furniture/Equipment,2659.0,>= 1000 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Car or Other,28.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Good,947.0,Good,0.31811050334869195,0.6818894966513078,1
Male,< 0 EU,30.0,None Taken,Furniture/Equipment,4583.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,Guarantor,1 - 4 Years,Real Estate,32.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,892.0,Good,0.30895706609129364,0.6910429339087063,1
Male,0 <= ... < 200 EU,30.0,Critical Account,Car(New),4249.0,< 100 EU,Unemployed,> 35%,None,1 - 4 Years,Car or Other,28.0,None,Own,2 or 3,Highly Qualified,< 3,None,Yes,Divorced/Separated/Married,Bad,290.0,Bad,0.7040977178334581,0.2959022821665419,1
Female,< 0 EU,15.0,Delay Paid,Furniture/Equipment,3643.0,< 100 EU,>= 7 Years,< 20%,None,> 7 Years,Savings Agreement/Life Insurance,27.0,None,Own,2 or 3,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Good,401.0,Good,0.24084086673591623,0.7591591332640838,1
Male,0 <= ... < 200 EU,6.0,Existing Paid,Radio/Television,1068.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,28.0,None,Own,1,Skilled Official,>= 3,None,Yes,Single,Good,325.0,Good,0.2962654217971236,0.7037345782028761,1
Female,No Account,10.0,Existing Paid,Retraining,894.0,Unknown,4 <= ... < 7 Years,> 35%,None,4 - 7 Years,Savings Agreement/Life Insurance,40.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,474.0,Good,0.1587905736894648,0.8412094263105353,1
Female,No Account,18.0,Critical Account,Radio/Television,2404.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Car or Other,26.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,746.0,Good,0.12525288494933717,0.8747471150506628,1
Male,0 <= ... < 200 EU,36.0,Existing Paid,Furniture/Equipment,9034.0,100 <= ... < 500 EU,< 1 Year,> 35%,Co-Applicant,< 1 Year,Unknown,29.0,None,Rent,1,Highly Qualified,< 3,Registered,Yes,Single,Bad,676.0,Bad,0.6886711277318545,0.3113288722681455,1
Male,0 <= ... < 200 EU,18.0,Existing Paid,Radio/Television,866.0,< 100 EU,1 <= ... < 4 Years,> 35%,Guarantor,1 - 4 Years,Real Estate,25.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Good,574.0,Good,0.31377853393069827,0.6862214660693016,1
Male,No Account,12.0,Delay Paid,Car(Used),1503.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Real Estate,41.0,None,Rent,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,747.0,Good,0.1465137360437825,0.8534862639562173,1
Male,< 0 EU,12.0,Existing Paid,Car(New),759.0,< 100 EU,4 <= ... < 7 Years,> 35%,None,1 - 4 Years,Real Estate,26.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Bad,755.0,Good,0.33685995435605365,0.6631400456439461,1
Male,>= 200 EU,24.0,Critical Account,Radio/Television,3148.0,Unknown,1 <= ... < 4 Years,25% - 35%,None,1 - 4 Years,Car or Other,31.0,None,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Single,Good,685.0,Good,0.1652778706805318,0.8347221293194679,1
Female,< 0 EU,18.0,Existing Paid,Education,750.0,< 100 EU,Unemployed,> 35%,None,< 1 Year,Real Estate,27.0,None,Own,1,Unemployed Non-resident,< 3,None,Yes,Divorced/Separated/Married,Bad,416.0,Bad,0.4390296622460929,0.5609703377539071,1
Female,< 0 EU,24.0,Critical Account,Car(Used),6419.0,< 100 EU,>= 7 Years,20% - 25%,None,> 7 Years,Unknown,44.0,None,For Free,2 or 3,Highly Qualified,>= 3,Registered,Yes,Divorced/Separated/Married,Good,260.0,Bad,0.5533693500295513,0.4466306499704486,1
Male,No Account,48.0,Existing Paid,Business,4844.0,< 100 EU,Unemployed,25% - 35%,None,1 - 4 Years,Car or Other,33.0,None,Rent,1,Highly Qualified,< 3,Registered,Yes,Single,Bad,817.0,Bad,0.596067859401276,0.4039321405987239,1
Female,< 0 EU,24.0,Existing Paid,Car(New),1381.0,Unknown,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,35.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Bad,445.0,Bad,0.39002423161665856,0.6099757683833414,1
Male,No Account,24.0,Critical Account,Furniture/Equipment,2028.0,< 100 EU,4 <= ... < 7 Years,20% - 25%,None,1 - 4 Years,Savings Agreement/Life Insurance,30.0,None,Own,2 or 3,Unskilled Resident,< 3,None,Yes,Single,Good,487.0,Good,0.18948513384536692,0.810514866154633,1
Male,< 0 EU,42.0,Delay Paid,Radio/Television,4370.0,< 100 EU,4 <= ... < 7 Years,25% - 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,26.0,Bank,Own,2 or 3,Skilled Official,>= 3,Registered,Yes,Single,Bad,519.0,Bad,0.45157057849839255,0.5484294215016075,1
Female,< 0 EU,36.0,Critical Account,Education,8065.0,< 100 EU,1 <= ... < 4 Years,25% - 35%,None,1 - 4 Years,Unknown,25.0,None,Own,2 or 3,Highly Qualified,< 3,Registered,Yes,Divorced/Separated/Married,Bad,597.0,Bad,0.6461265944520309,0.3538734055479691,1
Male,< 0 EU,12.0,Existing Paid,Radio/Television,1680.0,500 <= ... < 1000 EU,>= 7 Years,25% - 35%,None,< 1 Year,Real Estate,35.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,484.0,Good,0.2455131030173565,0.7544868969826435,1
Male,< 0 EU,48.0,Existing Paid,Car(Used),10297.0,< 100 EU,4 <= ... < 7 Years,> 35%,None,> 7 Years,Unknown,39.0,None,For Free,4 or 5,Skilled Official,>= 3,Registered,Yes,Single,Bad,349.0,Bad,0.4738191392274901,0.5261808607725101,1
Female,< 0 EU,15.0,Existing Paid,Car(New),1403.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,> 7 Years,Car or Other,28.0,None,Rent,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,319.0,Good,0.3531115167345347,0.6468884832654653,1
Male,0 <= ... < 200 EU,7.0,Existing Paid,Radio/Television,2576.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,Guarantor,1 - 4 Years,Real Estate,35.0,None,Own,1,Skilled Official,< 3,None,No,Single,Good,632.0,Good,0.18402597481700747,0.8159740251829926,1
Male,No Account,20.0,Critical Account,Car(New),3485.0,Unknown,< 1 Year,20% - 25%,None,> 7 Years,Real Estate,44.0,None,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,874.0,Good,0.21371849932174455,0.7862815006782553,1
Male,0 <= ... < 200 EU,15.0,Existing Paid,Radio/Television,802.0,< 100 EU,>= 7 Years,> 35%,None,4 - 7 Years,Car or Other,37.0,None,Own,1,Skilled Official,>= 3,None,Yes,Single,Bad,806.0,Bad,0.5817521053892998,0.4182478946107004,1
Male,< 0 EU,12.0,Existing Paid,Radio/Television,1107.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Real Estate,20.0,None,Rent,1,Highly Qualified,>= 3,Registered,Yes,Single,Good,457.0,Good,0.2434155909410629,0.7565844090589373,1
Female,0 <= ... < 200 EU,21.0,Existing Paid,Business,1188.0,< 100 EU,>= 7 Years,20% - 25%,None,> 7 Years,Savings Agreement/Life Insurance,39.0,None,Own,1,Skilled Official,>= 3,None,Yes,Divorced/Separated/Married,Bad,382.0,Bad,0.4899456079630346,0.5100543920369653,1
Male,0 <= ... < 200 EU,36.0,Delay Paid,Business,9857.0,100 <= ... < 500 EU,4 <= ... < 7 Years,< 20%,None,4 - 7 Years,Savings Agreement/Life Insurance,31.0,None,Own,2 or 3,Unskilled Resident,>= 3,Registered,Yes,Single,Good,573.0,Good,0.18151541687151884,0.8184845831284814,1
Male,< 0 EU,24.0,All Paid,Furniture/Equipment,3349.0,500 <= ... < 1000 EU,< 1 Year,> 35%,None,> 7 Years,Unknown,30.0,None,For Free,1,Skilled Official,>= 3,Registered,Yes,Single,Bad,200.0,Bad,0.5430885268540142,0.4569114731459856,1
Male,No Account,18.0,Critical Account,Car(Used),3850.0,< 100 EU,4 <= ... < 7 Years,25% - 35%,None,< 1 Year,Car or Other,27.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Single,Good,938.0,Good,0.10699274653822971,0.89300725346177,1
Male,No Account,6.0,Existing Paid,Car(New),3518.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,Guarantor,4 - 7 Years,Savings Agreement/Life Insurance,26.0,None,Rent,1,Skilled Official,< 3,None,Yes,Single,Good,508.0,Good,0.13013782751508104,0.8698621724849188,1
Male,0 <= ... < 200 EU,12.0,Existing Paid,Radio/Television,766.0,500 <= ... < 1000 EU,1 <= ... < 4 Years,> 35%,None,4 - 7 Years,Real Estate,66.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Single,Bad,237.0,Bad,0.48293554492209795,0.5170644550779021,1
Male,< 0 EU,6.0,Existing Paid,Furniture/Equipment,1374.0,< 100 EU,1 <= ... < 4 Years,< 20%,None,1 - 4 Years,Real Estate,36.0,Bank,Own,1,Unskilled Resident,< 3,Registered,Yes,Single,Good,696.0,Good,0.1303353002604196,0.8696646997395806,1
Female,0 <= ... < 200 EU,60.0,Existing Paid,Car(New),7408.0,100 <= ... < 500 EU,< 1 Year,> 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,24.0,None,Own,1,Highly Qualified,< 3,None,Yes,Divorced/Separated/Married,Bad,343.0,Bad,0.558423780926806,0.4415762190731941,1
Male,0 <= ... < 200 EU,18.0,Critical Account,Car(New),884.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,36.0,None,Own,1,Skilled Official,>= 3,Registered,Yes,Single,Bad,946.0,Bad,0.4764091290380426,0.5235908709619576,1
Female,No Account,11.0,Critical Account,Car(New),1393.0,< 100 EU,< 1 Year,> 35%,None,> 7 Years,Car or Other,35.0,None,Own,2 or 3,Highly Qualified,< 3,None,Yes,Divorced/Separated/Married,Good,184.0,Good,0.20985948692597767,0.7901405130740226,1
Male,0 <= ... < 200 EU,30.0,Delay Paid,Radio/Television,1919.0,100 <= ... < 500 EU,< 1 Year,> 35%,None,4 - 7 Years,Unknown,30.0,Stores,Own,2 or 3,Highly Qualified,< 3,None,Yes,Single,Bad,182.0,Bad,0.5,0.5,1
Female,0 <= ... < 200 EU,24.0,Delay Paid,Radio/Television,1553.0,100 <= ... < 500 EU,4 <= ... < 7 Years,25% - 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,23.0,None,Rent,2 or 3,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,350.0,Good,0.1628599719885202,0.8371400280114797,1
Female,< 0 EU,24.0,Existing Paid,Car(New),1207.0,< 100 EU,< 1 Year,> 35%,None,> 7 Years,Savings Agreement/Life Insurance,24.0,None,Rent,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Bad,516.0,Bad,0.5831234577096415,0.4168765422903585,1
Male,0 <= ... < 200 EU,36.0,Existing Paid,Radio/Television,2323.0,< 100 EU,4 <= ... < 7 Years,> 35%,None,> 7 Years,Car or Other,24.0,None,Rent,1,Skilled Official,< 3,None,Yes,Single,Good,637.0,Good,0.20876827993807148,0.7912317200619285,1
Female,0 <= ... < 200 EU,24.0,Existing Paid,Car(New),1355.0,< 100 EU,< 1 Year,25% - 35%,None,> 7 Years,Car or Other,25.0,None,Own,1,Unskilled Resident,< 3,Registered,Yes,Divorced/Separated/Married,Bad,745.0,Bad,0.5830972719793208,0.4169027280206793,1
Male,0 <= ... < 200 EU,24.0,Delay Paid,Business,4712.0,Unknown,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,34.0,Bank,Own,2 or 3,Highly Qualified,< 3,Registered,Yes,Single,Good,719.0,Good,0.32764792198778536,0.6723520780122147,1
Male,< 0 EU,12.0,Existing Paid,Car(New),1168.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,4 - 7 Years,Real Estate,27.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Good,579.0,Good,0.18965614025392377,0.8103438597460764,1
Female,0 <= ... < 200 EU,18.0,Existing Paid,Car(Used),12976.0,< 100 EU,Unemployed,25% - 35%,None,> 7 Years,Unknown,38.0,None,For Free,1,Highly Qualified,< 3,Registered,Yes,Divorced/Separated/Married,Bad,288.0,Bad,0.5,0.5,1
Female,< 0 EU,48.0,All Paid,Business,7685.0,< 100 EU,4 <= ... < 7 Years,20% - 25%,Guarantor,> 7 Years,Car or Other,37.0,None,Rent,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Bad,223.0,Bad,0.47142964493263906,0.5285703550673608,1
Male,No Account,12.0,Existing Paid,Car(New),1884.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,39.0,None,Own,1,Highly Qualified,< 3,Registered,Yes,Single,Good,228.0,Good,0.23554973719655145,0.7644502628034487,1
Male,>= 200 EU,24.0,Critical Account,Furniture/Equipment,3617.0,Unknown,>= 7 Years,> 35%,Co-Applicant,> 7 Years,Unknown,20.0,None,Rent,2 or 3,Skilled Official,< 3,None,Yes,Single,Good,663.0,Good,0.33925581240245584,0.6607441875975442,1
Male,0 <= ... < 200 EU,12.0,None Taken,Retraining,1410.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Real Estate,31.0,None,Own,1,Unskilled Resident,< 3,Registered,Yes,Single,Good,934.0,Good,0.3531108571495975,0.6468891428504027,1
Female,>= 200 EU,24.0,Existing Paid,Radio/Television,1258.0,500 <= ... < 1000 EU,1 <= ... < 4 Years,25% - 35%,None,4 - 7 Years,Car or Other,57.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Good,937.0,Good,0.16415511342997263,0.8358448865700275,1
Male,No Account,10.0,Existing Paid,Car(New),1418.0,100 <= ... < 500 EU,1 <= ... < 4 Years,25% - 35%,None,1 - 4 Years,Real Estate,35.0,None,Rent,1,Unskilled Resident,< 3,None,No,Single,Good,426.0,Good,0.17897981126330223,0.8210201887366978,1
Male,< 0 EU,6.0,Existing Paid,Car(New),1203.0,100 <= ... < 500 EU,>= 7 Years,25% - 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,43.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Single,Good,512.0,Good,0.2833239528522791,0.7166760471477208,1
Male,No Account,11.0,Critical Account,Car(New),7228.0,< 100 EU,1 <= ... < 4 Years,< 20%,None,> 7 Years,Savings Agreement/Life Insurance,39.0,None,Own,2 or 3,Unskilled Resident,< 3,None,Yes,Single,Good,247.0,Good,0.11928805294500451,0.8807119470549953,1
Male,>= 200 EU,6.0,Existing Paid,Car(New),709.0,>= 1000 EU,< 1 Year,20% - 25%,None,1 - 4 Years,Real Estate,27.0,None,Own,1,Unemployed Non-resident,< 3,None,No,Divorced/Separated/Married,Good,792.0,Good,0.20182341472476006,0.79817658527524,1
Male,< 0 EU,10.0,Existing Paid,Radio/Television,2315.0,< 100 EU,>= 7 Years,25% - 35%,None,> 7 Years,Real Estate,52.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Single,Good,866.0,Good,0.1290932227992054,0.8709067772007947,1
Male,0 <= ... < 200 EU,12.0,Existing Paid,Radio/Television,1158.0,500 <= ... < 1000 EU,1 <= ... < 4 Years,25% - 35%,None,< 1 Year,Car or Other,26.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,432.0,Good,0.24392159067165603,0.7560784093283439,1
