Account.Balance,Sex,Payment.Status.of.Previous.Credit,Purpose,Value.Savings.Stocks,Length.of.current.employment,Instalment.per.cent,Guarantors,Duration.in.Current.address,Most.valuable.available.asset,Concurrent.Credits,Type.of.apartment,No.of.Credits.at.this.Bank,Occupation,No.of.dependents,Marital.Status,Duration.of.Credit..month.,Credit.Amount,Age..years.,Telephone,Foreign.Worker,Creditability,ID,Random Forest,Random Forest (Bad),Random Forest (Good)
No Account,Male,Critical Account,Car(New),500 <= ... < 1000 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Unknown,None,For Free,1,Skilled Official,< 3,Single,48.0,10127.0,44.0,None,Yes,Bad,546.0,Good,0.3533333333333334,0.6466666666666667
0 <= ... < 200 EU,Female,None Taken,Other,< 100 EU,1 <= ... < 4 Years,< 20%,None,1 - 4 Years,Savings Agreement/Life Insurance,Bank,Own,1,Highly Qualified,< 3,Divorced/Separated/Married,48.0,18424.0,32.0,Registered,No,Bad,395.0,Bad,0.8800000000000001,0.12
< 0 EU,Female,Existing Paid,Other,< 100 EU,>= 7 Years,> 35%,Guarantor,> 7 Years,Real Estate,None,Own,1,Unskilled Resident,< 3,Divorced/Separated/Married,24.0,1755.0,58.0,Registered,Yes,Good,528.0,Good,0.26833333333333337,0.7316666666666667
No Account,Male,Existing Paid,Radio/Television,Unknown,4 <= ... < 7 Years,20% - 25%,None,> 7 Years,Savings Agreement/Life Insurance,None,Rent,1,Skilled Official,< 3,Divorced/Separated/Married,42.0,7166.0,29.0,Registered,Yes,Good,761.0,Good,0.21000000000000002,0.79
No Account,Male,Existing Paid,Education,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,Bank,Own,1,Unskilled Resident,>= 3,Single,12.0,719.0,41.0,None,Yes,Bad,677.0,Good,0.42666666666666664,0.5733333333333333
No Account,Male,Critical Account,Car(New),>= 1000 EU,>= 7 Years,> 35%,None,> 7 Years,Real Estate,None,Own,1,Skilled Official,< 3,Single,24.0,1940.0,60.0,Registered,Yes,Good,809.0,Good,0.08,0.9200000000000002
0 <= ... < 200 EU,Male,All Paid,Furniture/Equipment,>= 1000 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Car or Other,Stores,Own,1,Skilled Official,>= 3,Single,30.0,3496.0,34.0,Registered,Yes,Good,680.0,Good,0.29333333333333333,0.7066666666666667
0 <= ... < 200 EU,Female,Existing Paid,Radio/Television,< 100 EU,1 <= ... < 4 Years,< 20%,None,< 1 Year,Car or Other,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,12.0,1567.0,22.0,Registered,Yes,Good,773.0,Good,0.20083333333333334,0.7991666666666666
< 0 EU,Female,Existing Paid,Car(New),< 100 EU,1 <= ... < 4 Years,25% - 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,15.0,3959.0,29.0,Registered,Yes,Bad,872.0,Bad,0.7733333333333333,0.22666666666666666
0 <= ... < 200 EU,Female,Existing Paid,Furniture/Equipment,Unknown,>= 7 Years,< 20%,None,1 - 4 Years,Savings Agreement/Life Insurance,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,12.0,2762.0,25.0,Registered,Yes,Bad,511.0,Bad,0.6133333333333333,0.38666666666666666
< 0 EU,Male,All Paid,Retraining,< 100 EU,>= 7 Years,> 35%,None,< 1 Year,Car or Other,Bank,Own,1,Unskilled Resident,< 3,Divorced/Separated/Married,12.0,339.0,45.0,None,Yes,Good,181.0,Good,0.265,0.735
0 <= ... < 200 EU,Female,Existing Paid,Radio/Television,< 100 EU,< 1 Year,20% - 25%,Guarantor,> 7 Years,Savings Agreement/Life Insurance,None,Own,1,Unskilled Resident,< 3,Divorced/Separated/Married,13.0,2101.0,23.0,None,Yes,Good,411.0,Good,0.0,1.0
No Account,Male,Existing Paid,Furniture/Equipment,100 <= ... < 500 EU,1 <= ... < 4 Years,> 35%,None,< 1 Year,Car or Other,Stores,Own,1,Skilled Official,< 3,Single,24.0,5511.0,25.0,None,Yes,Good,788.0,Good,0.02,0.9800000000000001
No Account,Female,Critical Account,Car(New),< 100 EU,4 <= ... < 7 Years,< 20%,None,< 1 Year,Real Estate,None,Own,1,Skilled Official,>= 3,Divorced/Separated/Married,4.0,3380.0,37.0,None,Yes,Good,897.0,Good,0.15,0.85
< 0 EU,Female,All Paid,Education,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Unknown,None,For Free,1,Skilled Official,< 3,Divorced/Separated/Married,6.0,1198.0,35.0,None,Yes,Bad,721.0,Bad,0.8800000000000001,0.12
No Account,Male,Delay Paid,Business,< 100 EU,4 <= ... < 7 Years,25% - 35%,None,> 7 Years,Car or Other,None,Own,2 or 3,Skilled Official,< 3,Single,27.0,5117.0,26.0,None,Yes,Good,366.0,Good,0.18523809523809526,0.8147619047619047
No Account,Male,Critical Account,Radio/Television,Unknown,>= 7 Years,> 35%,None,1 - 4 Years,Car or Other,None,Own,1,Skilled Official,< 3,Single,36.0,3342.0,51.0,Registered,Yes,Good,229.0,Good,0.0,1.0
No Account,Male,Existing Paid,Car(Used),Unknown,>= 7 Years,25% - 35%,None,> 7 Years,Car or Other,None,Own,1,Highly Qualified,>= 3,Single,24.0,6313.0,41.0,Registered,Yes,Good,729.0,Good,0.0,1.0
0 <= ... < 200 EU,Male,Critical Account,Business,Unknown,4 <= ... < 7 Years,> 35%,None,4 - 7 Years,Unknown,None,Own,2 or 3,Skilled Official,>= 3,Single,24.0,2825.0,34.0,Registered,Yes,Good,534.0,Good,0.125,0.875
No Account,Male,Existing Paid,Radio/Television,< 100 EU,>= 7 Years,> 35%,None,< 1 Year,Real Estate,None,Own,1,Highly Qualified,< 3,Single,24.0,1278.0,36.0,Registered,Yes,Good,190.0,Good,0.02,0.9800000000000001
< 0 EU,Male,Existing Paid,Radio/Television,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Real Estate,Bank,Rent,1,Unskilled Resident,< 3,Single,24.0,2384.0,64.0,None,Yes,Good,174.0,Good,0.24,0.76
0 <= ... < 200 EU,Female,Delay Paid,Car(New),< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Savings Agreement/Life Insurance,None,Rent,1,Skilled Official,< 3,Divorced/Separated/Married,36.0,7432.0,54.0,None,Yes,Good,843.0,Good,0.30642857142857144,0.6935714285714285
No Account,Male,Delay Paid,Car(New),< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,None,Own,2 or 3,Unskilled Resident,>= 3,Single,24.0,2538.0,47.0,None,Yes,Bad,549.0,Bad,0.5066666666666666,0.49333333333333335
< 0 EU,Male,Existing Paid,Furniture/Equipment,>= 1000 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Car or Other,None,Own,1,Skilled Official,< 3,Single,18.0,2659.0,28.0,None,Yes,Good,947.0,Good,0.3097222222222222,0.6902777777777778
< 0 EU,Male,None Taken,Furniture/Equipment,< 100 EU,1 <= ... < 4 Years,20% - 25%,Guarantor,1 - 4 Years,Real Estate,None,Own,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,30.0,4583.0,32.0,None,Yes,Good,892.0,Good,0.26071428571428573,0.7392857142857142
0 <= ... < 200 EU,Male,Critical Account,Car(New),< 100 EU,Unemployed,> 35%,None,1 - 4 Years,Car or Other,None,Own,2 or 3,Highly Qualified,< 3,Divorced/Separated/Married,30.0,4249.0,28.0,None,Yes,Bad,290.0,Bad,0.8883333333333333,0.11166666666666665
< 0 EU,Female,Delay Paid,Furniture/Equipment,< 100 EU,>= 7 Years,< 20%,None,> 7 Years,Savings Agreement/Life Insurance,None,Own,2 or 3,Unskilled Resident,< 3,Divorced/Separated/Married,15.0,3643.0,27.0,None,Yes,Good,401.0,Good,0.038181818181818185,0.9618181818181819
0 <= ... < 200 EU,Male,Existing Paid,Radio/Television,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,None,Own,1,Skilled Official,>= 3,Single,6.0,1068.0,28.0,None,Yes,Good,325.0,Good,0.43809523809523804,0.5619047619047619
No Account,Female,Existing Paid,Retraining,Unknown,4 <= ... < 7 Years,> 35%,None,4 - 7 Years,Savings Agreement/Life Insurance,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,10.0,894.0,40.0,Registered,Yes,Good,474.0,Good,0.04285714285714286,0.9571428571428573
No Account,Female,Critical Account,Radio/Television,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Car or Other,None,Own,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,18.0,2404.0,26.0,None,Yes,Good,746.0,Good,0.14047619047619048,0.8595238095238095
0 <= ... < 200 EU,Male,Existing Paid,Furniture/Equipment,100 <= ... < 500 EU,< 1 Year,> 35%,Co-Applicant,< 1 Year,Unknown,None,Rent,1,Highly Qualified,< 3,Single,36.0,9034.0,29.0,Registered,Yes,Bad,676.0,Bad,0.5789285714285715,0.42107142857142854
0 <= ... < 200 EU,Male,Existing Paid,Radio/Television,< 100 EU,1 <= ... < 4 Years,> 35%,Guarantor,1 - 4 Years,Real Estate,None,Own,1,Unskilled Resident,< 3,Divorced/Separated/Married,18.0,866.0,25.0,None,Yes,Good,574.0,Good,0.13333333333333333,0.8666666666666668
No Account,Male,Delay Paid,Car(Used),< 100 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Real Estate,None,Rent,1,Skilled Official,< 3,Divorced/Separated/Married,12.0,1503.0,41.0,None,Yes,Good,747.0,Good,0.025,0.975
< 0 EU,Male,Existing Paid,Car(New),< 100 EU,4 <= ... < 7 Years,> 35%,None,1 - 4 Years,Real Estate,None,Own,1,Skilled Official,< 3,Single,12.0,759.0,26.0,None,Yes,Bad,755.0,Bad,0.5333333333333334,0.4666666666666667
>= 200 EU,Male,Critical Account,Radio/Television,Unknown,1 <= ... < 4 Years,25% - 35%,None,1 - 4 Years,Car or Other,None,Own,2 or 3,Skilled Official,< 3,Single,24.0,3148.0,31.0,Registered,Yes,Good,685.0,Good,0.06666666666666667,0.9333333333333333
< 0 EU,Female,Existing Paid,Education,< 100 EU,Unemployed,> 35%,None,< 1 Year,Real Estate,None,Own,1,Unemployed Non-resident,< 3,Divorced/Separated/Married,18.0,750.0,27.0,None,Yes,Bad,416.0,Bad,0.7533333333333333,0.24666666666666667
< 0 EU,Female,Critical Account,Car(Used),< 100 EU,>= 7 Years,20% - 25%,None,> 7 Years,Unknown,None,For Free,2 or 3,Highly Qualified,>= 3,Divorced/Separated/Married,24.0,6419.0,44.0,Registered,Yes,Good,260.0,Good,0.35,0.65
No Account,Male,Existing Paid,Business,< 100 EU,Unemployed,25% - 35%,None,1 - 4 Years,Car or Other,None,Rent,1,Highly Qualified,< 3,Single,48.0,4844.0,33.0,Registered,Yes,Bad,817.0,Bad,0.5464285714285715,0.45357142857142857
< 0 EU,Female,Existing Paid,Car(New),Unknown,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,24.0,1381.0,35.0,None,Yes,Bad,445.0,Bad,0.7158333333333333,0.2841666666666667
No Account,Male,Critical Account,Furniture/Equipment,< 100 EU,4 <= ... < 7 Years,20% - 25%,None,1 - 4 Years,Savings Agreement/Life Insurance,None,Own,2 or 3,Unskilled Resident,< 3,Single,24.0,2028.0,30.0,None,Yes,Good,487.0,Good,0.11000000000000001,0.89
< 0 EU,Male,Delay Paid,Radio/Television,< 100 EU,4 <= ... < 7 Years,25% - 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,Bank,Own,2 or 3,Skilled Official,>= 3,Single,42.0,4370.0,26.0,Registered,Yes,Bad,519.0,Bad,0.6361904761904762,0.36380952380952375
< 0 EU,Female,Critical Account,Education,< 100 EU,1 <= ... < 4 Years,25% - 35%,None,1 - 4 Years,Unknown,None,Own,2 or 3,Highly Qualified,< 3,Divorced/Separated/Married,36.0,8065.0,25.0,Registered,Yes,Bad,597.0,Bad,0.75,0.25
< 0 EU,Male,Existing Paid,Radio/Television,500 <= ... < 1000 EU,>= 7 Years,25% - 35%,None,< 1 Year,Real Estate,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,12.0,1680.0,35.0,None,Yes,Good,484.0,Good,0.06,0.9400000000000001
< 0 EU,Male,Existing Paid,Car(Used),< 100 EU,4 <= ... < 7 Years,> 35%,None,> 7 Years,Unknown,None,For Free,4 or 5,Skilled Official,>= 3,Single,48.0,10297.0,39.0,Registered,Yes,Bad,349.0,Bad,0.9142857142857143,0.08571428571428572
< 0 EU,Female,Existing Paid,Car(New),< 100 EU,1 <= ... < 4 Years,20% - 25%,None,> 7 Years,Car or Other,None,Rent,1,Skilled Official,< 3,Divorced/Separated/Married,15.0,1403.0,28.0,None,Yes,Good,319.0,Bad,0.525,0.475
0 <= ... < 200 EU,Male,Existing Paid,Radio/Television,< 100 EU,1 <= ... < 4 Years,20% - 25%,Guarantor,1 - 4 Years,Real Estate,None,Own,1,Skilled Official,< 3,Single,7.0,2576.0,35.0,None,No,Good,632.0,Good,0.1,0.9
No Account,Male,Critical Account,Car(New),Unknown,< 1 Year,20% - 25%,None,> 7 Years,Real Estate,None,Own,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,20.0,3485.0,44.0,Registered,Yes,Good,874.0,Good,0.03333333333333333,0.9666666666666666
0 <= ... < 200 EU,Male,Existing Paid,Radio/Television,< 100 EU,>= 7 Years,> 35%,None,4 - 7 Years,Car or Other,None,Own,1,Skilled Official,>= 3,Single,15.0,802.0,37.0,None,Yes,Bad,806.0,Bad,0.7357142857142857,0.2642857142857143
< 0 EU,Male,Existing Paid,Radio/Television,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Real Estate,None,Rent,1,Highly Qualified,>= 3,Single,12.0,1107.0,20.0,Registered,Yes,Good,457.0,Good,0.06666666666666667,0.9333333333333332
0 <= ... < 200 EU,Female,Existing Paid,Business,< 100 EU,>= 7 Years,20% - 25%,None,> 7 Years,Savings Agreement/Life Insurance,None,Own,1,Skilled Official,>= 3,Divorced/Separated/Married,21.0,1188.0,39.0,None,Yes,Bad,382.0,Bad,0.7023809523809523,0.29761904761904756
0 <= ... < 200 EU,Male,Delay Paid,Business,100 <= ... < 500 EU,4 <= ... < 7 Years,< 20%,None,4 - 7 Years,Savings Agreement/Life Insurance,None,Own,2 or 3,Unskilled Resident,>= 3,Single,36.0,9857.0,31.0,Registered,Yes,Good,573.0,Good,0.2891666666666667,0.7108333333333333
< 0 EU,Male,All Paid,Furniture/Equipment,500 <= ... < 1000 EU,< 1 Year,> 35%,None,> 7 Years,Unknown,None,For Free,1,Skilled Official,>= 3,Single,24.0,3349.0,30.0,Registered,Yes,Bad,200.0,Bad,0.7266666666666666,0.2733333333333333
No Account,Male,Critical Account,Car(Used),< 100 EU,4 <= ... < 7 Years,25% - 35%,None,< 1 Year,Car or Other,None,Own,2 or 3,Skilled Official,< 3,Single,18.0,3850.0,27.0,None,Yes,Good,938.0,Good,0.1,0.9
No Account,Male,Existing Paid,Car(New),< 100 EU,1 <= ... < 4 Years,20% - 25%,Guarantor,4 - 7 Years,Savings Agreement/Life Insurance,None,Rent,1,Skilled Official,< 3,Single,6.0,3518.0,26.0,None,Yes,Good,508.0,Good,0.06285714285714286,0.937142857142857
0 <= ... < 200 EU,Male,Existing Paid,Radio/Television,500 <= ... < 1000 EU,1 <= ... < 4 Years,> 35%,None,4 - 7 Years,Real Estate,None,Own,1,Unskilled Resident,< 3,Single,12.0,766.0,66.0,None,Yes,Bad,237.0,Bad,0.6933333333333334,0.30666666666666664
< 0 EU,Male,Existing Paid,Furniture/Equipment,< 100 EU,1 <= ... < 4 Years,< 20%,None,1 - 4 Years,Real Estate,Bank,Own,1,Unskilled Resident,< 3,Single,6.0,1374.0,36.0,Registered,Yes,Good,696.0,Good,0.11499999999999999,0.885
0 <= ... < 200 EU,Female,Existing Paid,Car(New),100 <= ... < 500 EU,< 1 Year,> 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,None,Own,1,Highly Qualified,< 3,Divorced/Separated/Married,60.0,7408.0,24.0,None,Yes,Bad,343.0,Bad,0.6433333333333333,0.3566666666666667
0 <= ... < 200 EU,Male,Critical Account,Car(New),< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,None,Own,1,Skilled Official,>= 3,Single,18.0,884.0,36.0,Registered,Yes,Bad,946.0,Bad,0.5397619047619047,0.4602380952380952
No Account,Female,Critical Account,Car(New),< 100 EU,< 1 Year,> 35%,None,> 7 Years,Car or Other,None,Own,2 or 3,Highly Qualified,< 3,Divorced/Separated/Married,11.0,1393.0,35.0,None,Yes,Good,184.0,Good,0.2611111111111111,0.7388888888888889
0 <= ... < 200 EU,Male,Delay Paid,Radio/Television,100 <= ... < 500 EU,< 1 Year,> 35%,None,4 - 7 Years,Unknown,Stores,Own,2 or 3,Highly Qualified,< 3,Single,30.0,1919.0,30.0,None,Yes,Bad,182.0,Bad,0.72,0.27999999999999997
0 <= ... < 200 EU,Female,Delay Paid,Radio/Television,100 <= ... < 500 EU,4 <= ... < 7 Years,25% - 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,None,Rent,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,24.0,1553.0,23.0,Registered,Yes,Good,350.0,Good,0.20833333333333331,0.7916666666666666
< 0 EU,Female,Existing Paid,Car(New),< 100 EU,< 1 Year,> 35%,None,> 7 Years,Savings Agreement/Life Insurance,None,Rent,1,Skilled Official,< 3,Divorced/Separated/Married,24.0,1207.0,24.0,None,Yes,Bad,516.0,Bad,0.9228571428571428,0.07714285714285714
0 <= ... < 200 EU,Male,Existing Paid,Radio/Television,< 100 EU,4 <= ... < 7 Years,> 35%,None,> 7 Years,Car or Other,None,Rent,1,Skilled Official,< 3,Single,36.0,2323.0,24.0,None,Yes,Good,637.0,Good,0.2914285714285714,0.7085714285714286
0 <= ... < 200 EU,Female,Existing Paid,Car(New),< 100 EU,< 1 Year,25% - 35%,None,> 7 Years,Car or Other,None,Own,1,Unskilled Resident,< 3,Divorced/Separated/Married,24.0,1355.0,25.0,Registered,Yes,Bad,745.0,Bad,0.8142857142857143,0.18571428571428572
0 <= ... < 200 EU,Male,Delay Paid,Business,Unknown,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,Bank,Own,2 or 3,Highly Qualified,< 3,Single,24.0,4712.0,34.0,Registered,Yes,Good,719.0,Good,0.21428571428571427,0.7857142857142858
< 0 EU,Male,Existing Paid,Car(New),< 100 EU,1 <= ... < 4 Years,> 35%,None,4 - 7 Years,Real Estate,None,Own,1,Unskilled Resident,< 3,Divorced/Separated/Married,12.0,1168.0,27.0,None,Yes,Good,579.0,Good,0.13999999999999999,0.86
0 <= ... < 200 EU,Female,Existing Paid,Car(Used),< 100 EU,Unemployed,25% - 35%,None,> 7 Years,Unknown,None,For Free,1,Highly Qualified,< 3,Divorced/Separated/Married,18.0,12976.0,38.0,Registered,Yes,Bad,288.0,Bad,0.7216666666666667,0.2783333333333333
< 0 EU,Female,All Paid,Business,< 100 EU,4 <= ... < 7 Years,20% - 25%,Guarantor,> 7 Years,Car or Other,None,Rent,1,Skilled Official,< 3,Divorced/Separated/Married,48.0,7685.0,37.0,None,Yes,Bad,223.0,Bad,0.76,0.24
No Account,Male,Existing Paid,Car(New),< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,None,Own,1,Highly Qualified,< 3,Single,12.0,1884.0,39.0,Registered,Yes,Good,228.0,Good,0.06,0.9400000000000001
>= 200 EU,Male,Critical Account,Furniture/Equipment,Unknown,>= 7 Years,> 35%,Co-Applicant,> 7 Years,Unknown,None,Rent,2 or 3,Skilled Official,< 3,Single,24.0,3617.0,20.0,None,Yes,Good,663.0,Good,0.025,0.975
0 <= ... < 200 EU,Male,None Taken,Retraining,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Real Estate,None,Own,1,Unskilled Resident,< 3,Single,12.0,1410.0,31.0,Registered,Yes,Good,934.0,Good,0.02,0.9800000000000001
>= 200 EU,Female,Existing Paid,Radio/Television,500 <= ... < 1000 EU,1 <= ... < 4 Years,25% - 35%,None,4 - 7 Years,Car or Other,None,Own,1,Unskilled Resident,< 3,Divorced/Separated/Married,24.0,1258.0,57.0,None,Yes,Good,937.0,Good,0.2233333333333333,0.7766666666666666
No Account,Male,Existing Paid,Car(New),100 <= ... < 500 EU,1 <= ... < 4 Years,25% - 35%,None,1 - 4 Years,Real Estate,None,Rent,1,Unskilled Resident,< 3,Single,10.0,1418.0,35.0,None,No,Good,426.0,Good,0.075,0.925
< 0 EU,Male,Existing Paid,Car(New),100 <= ... < 500 EU,>= 7 Years,25% - 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,None,Own,1,Skilled Official,< 3,Single,6.0,1203.0,43.0,Registered,Yes,Good,512.0,Good,0.255,0.745
No Account,Male,Critical Account,Car(New),< 100 EU,1 <= ... < 4 Years,< 20%,None,> 7 Years,Savings Agreement/Life Insurance,None,Own,2 or 3,Unskilled Resident,< 3,Single,11.0,7228.0,39.0,None,Yes,Good,247.0,Good,0.195,0.805
>= 200 EU,Male,Existing Paid,Car(New),>= 1000 EU,< 1 Year,20% - 25%,None,1 - 4 Years,Real Estate,None,Own,1,Unemployed Non-resident,< 3,Divorced/Separated/Married,6.0,709.0,27.0,None,No,Good,792.0,Good,0.075,0.925
< 0 EU,Male,Existing Paid,Radio/Television,< 100 EU,>= 7 Years,25% - 35%,None,> 7 Years,Real Estate,None,Own,1,Unskilled Resident,< 3,Single,10.0,2315.0,52.0,None,Yes,Good,866.0,Good,0.0,1.0
0 <= ... < 200 EU,Male,Existing Paid,Radio/Television,500 <= ... < 1000 EU,1 <= ... < 4 Years,25% - 35%,None,< 1 Year,Car or Other,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,12.0,1158.0,26.0,Registered,Yes,Good,432.0,Good,0.1,0.9
< 0 EU,Male,Existing Paid,Radio/Television,< 100 EU,Unemployed,> 35%,None,1 - 4 Years,Car or Other,Stores,Own,1,Highly Qualified,>= 3,Single,24.0,1823.0,30.0,None,Yes,Bad,544.0,Bad,0.7288095238095238,0.27119047619047615
< 0 EU,Male,Critical Account,Car(New),< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Real Estate,None,Rent,2 or 3,Skilled Official,>= 3,Single,9.0,2799.0,36.0,None,Yes,Good,779.0,Good,0.3773809523809524,0.6226190476190476
0 <= ... < 200 EU,Male,Existing Paid,Business,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Car or Other,None,Own,1,Skilled Official,< 3,Single,48.0,15672.0,23.0,Registered,Yes,Bad,759.0,Bad,0.8323809523809524,0.1676190476190476
